lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.96220,40.62371,8.984361E-01,4.533481E-01,1.911596E-01
22.96228,40.62333,9.042311E-01,4.561694E-01,1.923359E-01
22.96235,40.62296,9.088914E-01,4.586077E-01,1.933545E-01
22.96242,40.62258,9.121872E-01,4.603269E-01,1.940720E-01
22.96250,40.62220,9.141933E-01,4.613647E-01,1.945035E-01
22.96257,40.62182,9.154310E-01,4.620051E-01,1.947721E-01
22.96264,40.62144,9.166952E-01,4.626687E-01,1.950540E-01
22.96271,40.62107,9.187418E-01,4.637574E-01,1.955188E-01
22.96279,40.62069,9.221373E-01,4.655695E-01,1.962923E-01
22.96286,40.62031,9.270918E-01,4.682223E-01,1.974264E-01
22.96293,40.61993,9.334309E-01,4.716189E-01,1.988791E-01
22.96300,40.61956,9.404464E-01,4.753839E-01,2.004895E-01
22.96307,40.61918,9.469211E-01,4.788708E-01,2.019716E-01
22.96313,40.61880,9.514287E-01,4.813252E-01,2.029900E-01
22.96306,40.61842,9.524699E-01,4.819910E-01,2.033069E-01
22.96293,40.61806,9.501014E-01,4.808707E-01,2.029111E-01
22.96274,40.61770,9.452605E-01,4.784633E-01,2.020057E-01
22.96249,40.61738,9.394678E-01,4.755626E-01,2.008706E-01
22.96214,40.61710,9.340297E-01,4.728747E-01,1.998189E-01
22.96177,40.61684,9.300538E-01,4.709691E-01,1.991006E-01
22.96141,40.61658,9.282866E-01,4.702425E-01,1.988828E-01
22.96104,40.61632,9.288751E-01,4.707836E-01,1.992066E-01
22.96068,40.61606,9.315030E-01,4.724171E-01,1.999958E-01
22.96031,40.61580,9.352344E-01,4.746515E-01,2.010454E-01
22.95994,40.61554,9.387414E-01,4.767746E-01,2.020327E-01
22.95958,40.61528,9.405810E-01,4.780112E-01,2.026341E-01
22.95921,40.61502,9.396598E-01,4.777826E-01,2.026454E-01
22.95885,40.61476,9.358147E-01,4.759895E-01,2.020223E-01
22.95848,40.61450,9.297068E-01,4.729906E-01,2.008762E-01
22.95812,40.61424,9.225816E-01,4.694434E-01,1.994756E-01
22.95775,40.61397,9.154785E-01,4.659157E-01,1.980872E-01
22.95741,40.61370,9.086149E-01,4.625018E-01,1.967418E-01
22.95725,40.61334,8.984291E-01,4.574699E-01,1.946916E-01
22.95721,40.61296,8.880775E-01,4.525101E-01,1.926554E-01
22.95724,40.61258,8.799594E-01,4.486329E-01,1.910714E-01
22.95726,40.61220,8.751193E-01,4.463983E-01,1.901936E-01
22.95729,40.61182,8.736945E-01,4.458716E-01,1.900476E-01
22.95732,40.61143,8.751897E-01,4.468165E-01,1.905375E-01
22.95735,40.61105,8.787447E-01,4.487942E-01,1.914711E-01
22.95738,40.61067,8.832031E-01,4.512319E-01,1.926056E-01
22.95741,40.61029,8.875409E-01,4.536161E-01,1.937208E-01
22.95744,40.60991,8.910730E-01,4.556044E-01,1.946694E-01
22.95747,40.60953,8.935258E-01,4.570585E-01,1.953912E-01
22.95750,40.60915,8.949808E-01,4.580186E-01,1.959033E-01
22.95753,40.60877,8.958037E-01,4.586668E-01,1.962838E-01
22.95756,40.60839,8.965960E-01,4.593049E-01,1.966624E-01
22.95759,40.60801,8.981257E-01,4.603189E-01,1.972054E-01
22.95762,40.60762,9.011065E-01,4.620751E-01,1.980740E-01
22.95765,40.60724,9.058322E-01,4.647966E-01,1.993595E-01
22.95768,40.60686,9.118599E-01,4.683335E-01,2.010008E-01
22.95774,40.60648,9.191394E-01,4.725460E-01,2.028690E-01
22.95783,40.60611,9.263048E-01,4.766850E-01,2.046701E-01
22.95793,40.60574,9.318008E-01,4.799226E-01,2.061012E-01
22.95804,40.60536,9.344089E-01,4.816023E-01,2.068963E-01
22.95814,40.60499,9.349637E-01,4.821648E-01,2.072328E-01
22.95825,40.60462,9.357775E-01,4.828691E-01,2.076279E-01
22.95835,40.60424,9.395379E-01,4.851950E-01,2.086957E-01
22.95846,40.60387,9.480382E-01,4.901009E-01,2.108212E-01
22.95856,40.60350,9.605775E-01,4.971476E-01,2.138613E-01
22.95867,40.60312,9.739007E-01,5.042674E-01,2.170884E-01
22.95877,40.60275,9.833884E-01,5.094196E-01,2.194578E-01
22.95879,40.60237,9.833555E-01,5.097168E-01,2.197221E-01
22.95870,40.60199,9.734487E-01,5.049688E-01,2.177930E-01
22.95861,40.60162,9.590815E-01,4.979020E-01,2.148411E-01
22.95851,40.60124,9.452893E-01,4.908203E-01,2.120160E-01
22.95842,40.60087,9.359403E-01,4.860270E-01,2.101768E-01
22.95832,40.60050,9.320611E-01,4.842370E-01,2.095827E-01
22.95815,40.60015,9.303858E-01,4.836579E-01,2.094831E-01
22.95785,40.59984,9.269031E-01,4.820823E-01,2.089718E-01
22.95747,40.59959,9.222323E-01,4.798203E-01,2.081633E-01
22.95721,40.59927,9.193580E-01,4.785712E-01,2.077865E-01
22.95716,40.59890,9.150977E-01,4.765336E-01,2.070706E-01
22.95731,40.59854,9.092392E-01,4.735452E-01,2.059330E-01
22.95766,40.59827,9.065502E-01,4.721837E-01,2.054195E-01
22.95811,40.59811,9.093442E-01,4.737426E-01,2.060736E-01
22.95852,40.59790,9.110024E-01,4.747282E-01,2.065118E-01
22.95887,40.59763,9.113542E-01,4.750598E-01,2.067058E-01
22.95921,40.59734,9.118350E-01,4.754856E-01,2.069483E-01
22.95954,40.59706,9.121810E-01,4.758355E-01,2.071578E-01
22.95983,40.59675,9.116108E-01,4.757150E-01,2.071871E-01
22.96002,40.59640,9.099058E-01,4.750216E-01,2.070011E-01
22.96022,40.59605,9.050906E-01,4.726016E-01,2.060949E-01
22.96038,40.59569,8.973979E-01,4.688518E-01,2.046399E-01
22.96051,40.59532,8.882979E-01,4.644445E-01,2.029140E-01
22.96064,40.59495,8.795886E-01,4.602315E-01,2.012439E-01
22.96077,40.59458,8.730290E-01,4.571208E-01,1.999836E-01
22.96090,40.59422,8.693700E-01,4.554942E-01,1.993755E-01
22.96106,40.59385,8.679588E-01,4.550294E-01,1.992828E-01
22.96135,40.59355,8.677236E-01,4.550977E-01,1.993926E-01
22.96174,40.59331,8.686826E-01,4.557239E-01,1.997231E-01
22.96213,40.59307,8.704673E-01,4.567807E-01,2.002461E-01
22.96256,40.59287,8.724872E-01,4.579248E-01,2.007930E-01
22.96301,40.59270,8.737517E-01,4.586548E-01,2.011454E-01
22.96350,40.59265,8.743302E-01,4.589328E-01,2.012546E-01
22.96399,40.59270,8.734291E-01,4.583684E-01,2.009563E-01
22.96449,40.59276,8.698726E-01,4.564235E-01,2.000420E-01
22.96498,40.59281,8.645180E-01,4.535586E-01,1.987249E-01
22.96548,40.59287,8.587987E-01,4.504958E-01,1.973183E-01
22.96598,40.59292,8.537785E-01,4.478070E-01,1.960830E-01
22.96647,40.59297,8.501109E-01,4.458231E-01,1.951630E-01
22.96697,40.59303,8.479353E-01,4.446070E-01,1.945807E-01
22.96746,40.59308,8.469204E-01,4.440033E-01,1.942751E-01
22.96796,40.59313,8.467690E-01,4.438492E-01,1.941694E-01
22.96845,40.59319,8.472257E-01,4.440056E-01,1.941995E-01
22.96895,40.59324,8.480790E-01,4.443768E-01,1.943290E-01
22.96945,40.59329,8.492881E-01,4.449347E-01,1.945422E-01
22.96995,40.59331,8.506889E-01,4.456181E-01,1.948223E-01
