sids,lon,lat,depth,vs30,xvf,vs30measured
77,22.95809,40.62887,0.00000,3.69815E+02,-1.50000E+02,0
78,22.95849,40.62864,0.00000,3.72405E+02,-1.50000E+02,0
79,22.95884,40.62838,0.00000,3.73065E+02,-1.50000E+02,0
80,22.95915,40.62808,0.00000,3.70839E+02,-1.50000E+02,0
81,22.95940,40.62775,0.00000,3.66282E+02,-1.50000E+02,0
82,22.95965,40.62742,0.00000,3.62202E+02,-1.50000E+02,0
83,22.95990,40.62708,0.00000,3.59691E+02,-1.50000E+02,0
84,22.96015,40.62675,0.00000,3.59388E+02,-1.50000E+02,0
85,22.96040,40.62642,0.00000,3.61388E+02,-1.50000E+02,0
86,22.96065,40.62609,0.00000,3.65279E+02,-1.50000E+02,0
87,22.96090,40.62576,0.00000,3.70288E+02,-1.50000E+02,0
88,22.96115,40.62543,0.00000,3.75443E+02,-1.50000E+02,0
89,22.96140,40.62510,0.00000,3.79727E+02,-1.50000E+02,0
90,22.96165,40.62477,0.00000,3.82251E+02,-1.50000E+02,0
91,22.96188,40.62443,0.00000,3.82341E+02,-1.50000E+02,0
92,22.96207,40.62408,0.00000,3.79405E+02,-1.50000E+02,0
93,22.96220,40.62371,0.00000,3.73994E+02,-1.50000E+02,0
94,22.96228,40.62333,0.00000,3.67716E+02,-1.50000E+02,0
95,22.96235,40.62296,0.00000,3.62331E+02,-1.50000E+02,0
96,22.96242,40.62258,0.00000,3.58572E+02,-1.50000E+02,0
97,22.96250,40.62220,0.00000,3.56333E+02,-1.50000E+02,0
98,22.96257,40.62182,0.00000,3.54943E+02,-1.50000E+02,0
99,22.96264,40.62144,0.00000,3.53482E+02,-1.50000E+02,0
100,22.96271,40.62107,0.00000,3.51069E+02,-1.50000E+02,0
101,22.96279,40.62069,0.00000,3.47074E+02,-1.50000E+02,0
102,22.96286,40.62031,0.00000,3.41253E+02,-1.50000E+02,0
103,22.96293,40.61993,0.00000,3.33878E+02,-1.50000E+02,0
104,22.96300,40.61956,0.00000,3.25805E+02,-1.50000E+02,0
105,22.96307,40.61918,0.00000,3.18387E+02,-1.50000E+02,0
106,22.96313,40.61880,0.00000,3.13139E+02,-1.50000E+02,0
107,22.96306,40.61842,0.00000,3.11419E+02,-1.50000E+02,0
108,22.96293,40.61806,0.00000,3.13296E+02,-1.50000E+02,0
109,22.96274,40.61770,0.00000,3.17758E+02,-1.50000E+02,0
110,22.96249,40.61738,0.00000,3.23233E+02,-1.50000E+02,0
111,22.96214,40.61710,0.00000,3.28212E+02,-1.50000E+02,0
112,22.96177,40.61684,0.00000,3.31548E+02,-1.50000E+02,0
113,22.96141,40.61658,0.00000,3.32384E+02,-1.50000E+02,0
114,22.96104,40.61632,0.00000,3.30490E+02,-1.50000E+02,0
115,22.96068,40.61606,0.00000,3.26279E+02,-1.50000E+02,0
116,22.96031,40.61580,0.00000,3.20801E+02,-1.50000E+02,0
117,22.95994,40.61554,0.00000,3.15578E+02,-1.50000E+02,0
118,22.95958,40.61528,0.00000,3.12224E+02,-1.50000E+02,0
119,22.95921,40.61502,0.00000,3.11884E+02,-1.50000E+02,0
120,22.95885,40.61476,0.00000,3.14796E+02,-1.50000E+02,0
121,22.95848,40.61450,0.00000,3.20233E+02,-1.50000E+02,0
122,22.95812,40.61424,0.00000,3.26902E+02,-1.50000E+02,0
123,22.95775,40.61397,0.00000,3.33579E+02,-1.50000E+02,0
124,22.95741,40.61370,0.00000,3.40129E+02,-1.50000E+02,0
125,22.95725,40.61334,0.00000,3.50487E+02,-1.50000E+02,0
126,22.95721,40.61296,0.00000,3.61024E+02,-1.50000E+02,0
127,22.95724,40.61258,0.00000,3.69361E+02,-1.50000E+02,0
128,22.95726,40.61220,0.00000,3.73966E+02,-1.50000E+02,0
129,22.95729,40.61182,0.00000,3.74616E+02,-1.50000E+02,0
130,22.95732,40.61143,0.00000,3.71807E+02,-1.50000E+02,0
131,22.95735,40.61105,0.00000,3.66625E+02,-1.50000E+02,0
132,22.95738,40.61067,0.00000,3.60420E+02,-1.50000E+02,0
133,22.95741,40.61029,0.00000,3.54378E+02,-1.50000E+02,0
134,22.95744,40.60991,0.00000,3.49261E+02,-1.50000E+02,0
135,22.95747,40.60953,0.00000,3.45354E+02,-1.50000E+02,0
136,22.95750,40.60915,0.00000,3.42547E+02,-1.50000E+02,0
137,22.95753,40.60877,0.00000,3.40422E+02,-1.50000E+02,0
138,22.95756,40.60839,0.00000,3.38311E+02,-1.50000E+02,0
139,22.95759,40.60801,0.00000,3.35369E+02,-1.50000E+02,0
140,22.95762,40.60762,0.00000,3.30787E+02,-1.50000E+02,0
141,22.95765,40.60724,0.00000,3.24160E+02,-1.50000E+02,0
142,22.95768,40.60686,0.00000,3.15849E+02,-1.50000E+02,0
143,22.95774,40.60648,0.00000,3.06246E+02,-1.50000E+02,0
144,22.95783,40.60611,0.00000,2.96971E+02,-1.50000E+02,0
145,22.95793,40.60574,0.00000,2.89659E+02,-1.50000E+02,0
146,22.95804,40.60536,0.00000,2.85559E+02,-1.50000E+02,0
147,22.95814,40.60499,0.00000,2.83738E+02,-1.50000E+02,0
148,22.95825,40.60462,0.00000,2.81635E+02,-1.50000E+02,0
149,22.95835,40.60424,0.00000,2.76225E+02,-1.50000E+02,0
150,22.95846,40.60387,0.00000,2.65729E+02,-1.50000E+02,0
151,22.95856,40.60350,0.00000,2.50985E+02,-1.50000E+02,0
152,22.95867,40.60312,0.00000,2.35545E+02,-1.50000E+02,0
153,22.95877,40.60275,0.00000,2.24245E+02,-1.50000E+02,0
154,22.95879,40.60237,0.00000,2.22779E+02,-1.50000E+02,0
155,22.95870,40.60199,0.00000,2.31545E+02,-1.50000E+02,0
156,22.95861,40.60162,0.00000,2.45201E+02,-1.50000E+02,0
157,22.95851,40.60124,0.00000,2.58399E+02,-1.50000E+02,0
158,22.95842,40.60087,0.00000,2.67002E+02,-1.50000E+02,0
159,22.95832,40.60050,0.00000,2.69640E+02,-1.50000E+02,0
160,22.95815,40.60015,0.00000,2.69819E+02,-1.50000E+02,0
161,22.95785,40.59984,0.00000,2.71967E+02,-1.50000E+02,0
162,22.95747,40.59959,0.00000,2.75577E+02,-1.50000E+02,0
163,22.95721,40.59927,0.00000,2.77118E+02,-1.50000E+02,0
164,22.95716,40.59890,0.00000,2.80393E+02,-1.50000E+02,0
165,22.95731,40.59854,0.00000,2.85894E+02,-1.50000E+02,0
166,22.95766,40.59827,0.00000,2.88468E+02,-1.50000E+02,0
167,22.95811,40.59811,0.00000,2.85327E+02,-1.50000E+02,0
168,22.95852,40.59790,0.00000,2.83218E+02,-1.50000E+02,0
169,22.95887,40.59763,0.00000,2.82256E+02,-1.50000E+02,0
170,22.95921,40.59734,0.00000,2.81036E+02,-1.50000E+02,0
171,22.95954,40.59706,0.00000,2.79981E+02,-1.50000E+02,0
172,22.95983,40.59675,0.00000,2.79780E+02,-1.50000E+02,0
173,22.96002,40.59640,0.00000,2.80567E+02,-1.50000E+02,0
174,22.96022,40.59605,0.00000,2.84940E+02,-1.50000E+02,0
175,22.96038,40.59569,0.00000,2.92074E+02,-1.50000E+02,0
176,22.96051,40.59532,0.00000,3.00646E+02,-1.50000E+02,0
177,22.96064,40.59495,0.00000,3.08932E+02,-1.50000E+02,0
178,22.96077,40.59458,0.00000,3.14938E+02,-1.50000E+02,0
179,22.96090,40.59422,0.00000,3.17772E+02,-1.50000E+02,0
180,22.96106,40.59385,0.00000,3.18069E+02,-1.50000E+02,0
181,22.96135,40.59355,0.00000,3.17469E+02,-1.50000E+02,0
182,22.96174,40.59331,0.00000,3.15863E+02,-1.50000E+02,0
183,22.96213,40.59307,0.00000,3.13315E+02,-1.50000E+02,0
184,22.96256,40.59287,0.00000,3.10704E+02,-1.50000E+02,0
185,22.96301,40.59270,0.00000,3.09079E+02,-1.50000E+02,0
186,22.96350,40.59265,0.00000,3.08738E+02,-1.50000E+02,0
187,22.96399,40.59270,0.00000,3.10449E+02,-1.50000E+02,0
188,22.96449,40.59276,0.00000,3.15201E+02,-1.50000E+02,0
189,22.96498,40.59281,0.00000,3.21979E+02,-1.50000E+02,0
190,22.96548,40.59287,0.00000,3.29293E+02,-1.50000E+02,0
191,22.96598,40.59292,0.00000,3.35814E+02,-1.50000E+02,0
192,22.96647,40.59297,0.00000,3.40779E+02,-1.50000E+02,0
193,22.96697,40.59303,0.00000,3.44042E+02,-1.50000E+02,0
194,22.96746,40.59308,0.00000,3.45874E+02,-1.50000E+02,0
195,22.96796,40.59313,0.00000,3.46673E+02,-1.50000E+02,0
196,22.96845,40.59319,0.00000,3.46768E+02,-1.50000E+02,0
197,22.96895,40.59324,0.00000,3.46343E+02,-1.50000E+02,0
198,22.96945,40.59329,0.00000,3.45482E+02,-1.50000E+02,0
199,22.96995,40.59331,0.00000,3.44255E+02,-1.50000E+02,0
