sids,lon,lat,depth,vs30,vs30measured
117,22.94968,40.63295,0.00000,3.47324E+02,0
118,22.94988,40.63285,0.00000,3.49596E+02,0
119,22.95008,40.63274,0.00000,3.51608E+02,0
120,22.95028,40.63264,0.00000,3.53293E+02,0
121,22.95048,40.63254,0.00000,3.54601E+02,0
122,22.95068,40.63243,0.00000,3.55492E+02,0
123,22.95089,40.63233,0.00000,3.55940E+02,0
124,22.95109,40.63222,0.00000,3.55927E+02,0
125,22.95129,40.63212,0.00000,3.55441E+02,0
126,22.95149,40.63202,0.00000,3.54476E+02,0
127,22.95169,40.63191,0.00000,3.53034E+02,0
128,22.95190,40.63181,0.00000,3.51124E+02,0
129,22.95210,40.63171,0.00000,3.48769E+02,0
130,22.95230,40.63160,0.00000,3.46011E+02,0
131,22.95250,40.63150,0.00000,3.42912E+02,0
132,22.95270,40.63140,0.00000,3.39564E+02,0
133,22.95291,40.63129,0.00000,3.36087E+02,0
134,22.95311,40.63119,0.00000,3.32627E+02,0
135,22.95331,40.63108,0.00000,3.29350E+02,0
136,22.95352,40.63100,0.00000,3.26299E+02,0
137,22.95372,40.63092,0.00000,3.23656E+02,0
138,22.95393,40.63084,0.00000,3.21663E+02,0
139,22.95414,40.63076,0.00000,3.20458E+02,0
140,22.95435,40.63069,0.00000,3.20152E+02,0
141,22.95456,40.63061,0.00000,3.20792E+02,0
142,22.95477,40.63053,0.00000,3.22369E+02,0
143,22.95498,40.63046,0.00000,3.24813E+02,0
144,22.95518,40.63038,0.00000,3.28002E+02,0
145,22.95539,40.63029,0.00000,3.31859E+02,0
146,22.95559,40.63019,0.00000,3.36073E+02,0
147,22.95580,40.63009,0.00000,3.40475E+02,0
148,22.95600,40.62998,0.00000,3.44809E+02,0
149,22.95620,40.62987,0.00000,3.48897E+02,0
150,22.95640,40.62977,0.00000,3.52616E+02,0
151,22.95660,40.62966,0.00000,3.55892E+02,0
152,22.95680,40.62955,0.00000,3.58703E+02,0
153,22.95700,40.62945,0.00000,3.61077E+02,0
154,22.95720,40.62934,0.00000,3.63080E+02,0
155,22.95740,40.62924,0.00000,3.64802E+02,0
