t,Xacceleration
2.6396000E-001,-3.1117513E-007
2.6546000E-001,-3.1957774E-007
2.6696000E-001,-3.2791554E-007
2.6846000E-001,-3.3625335E-007
2.6996000E-001,-3.4459116E-007
2.7146000E-001,-3.5321633E-007
2.7296000E-001,-3.6184938E-007
2.7446000E-001,-3.7048243E-007
2.7596000E-001,-3.7957357E-007
2.7746000E-001,-3.8892239E-007
2.7896000E-001,-3.9827120E-007
2.8046000E-001,-4.0789938E-007
2.8196000E-001,-4.1815915E-007
2.8346000E-001,-4.2841892E-007
2.8496000E-001,-4.3867869E-007
2.8646000E-001,-4.4963173E-007
2.8796000E-001,-4.6060377E-007
2.8946000E-001,-4.7157582E-007
2.9096000E-001,-4.8264495E-007
2.9246000E-001,-4.9376870E-007
2.9396000E-001,-5.0489244E-007
2.9546000E-001,-5.1586109E-007
2.9696000E-001,-5.2647909E-007
2.9846000E-001,-5.3709708E-007
2.9996000E-001,-5.4771507E-007
3.0146000E-001,-5.5748675E-007
3.0296000E-001,-5.6723523E-007
3.0446000E-001,-5.7698372E-007
3.0596000E-001,-5.8629263E-007
3.0746000E-001,-5.9535428E-007
3.0896000E-001,-6.0441593E-007
3.1046000E-001,-6.1345011E-007
3.1196000E-001,-6.2242215E-007
3.1346000E-001,-6.3139420E-007
3.1496000E-001,-6.4036625E-007
3.1646000E-001,-6.4978257E-007
3.1796000E-001,-6.5921107E-007
3.1946000E-001,-6.6863957E-007
3.2096000E-001,-6.7841325E-007
3.2246000E-001,-6.8838110E-007
3.2396000E-001,-6.9834895E-007
3.2546000E-001,-7.0837238E-007
3.2696000E-001,-7.1852150E-007
3.2846000E-001,-7.2867061E-007
3.2996000E-001,-7.3881972E-007
3.3146000E-001,-7.4881943E-007
3.3296000E-001,-7.5881505E-007
3.3446000E-001,-7.6881067E-007
3.3596000E-001,-7.7886249E-007
3.3746000E-001,-7.8894593E-007
3.3896000E-001,-7.9902937E-007
3.4046000E-001,-8.0945624E-007
3.4196000E-001,-8.2065957E-007
3.4346000E-001,-8.3186290E-007
3.4496000E-001,-8.4306622E-007
3.4646000E-001,-8.5675645E-007
3.4796000E-001,-8.7051482E-007
3.4946000E-001,-8.8427318E-007
3.5096000E-001,-9.0024510E-007
3.5246000E-001,-9.1746214E-007
3.5396000E-001,-9.3467918E-007
3.5546000E-001,-9.5277550E-007
3.5696000E-001,-9.7285974E-007
3.5846000E-001,-9.9294398E-007
3.5996000E-001,-1.0130282E-006
3.6146000E-001,-1.0336860E-006
3.6296000E-001,-1.0543596E-006
3.6446000E-001,-1.0750331E-006
3.6596000E-001,-1.0941757E-006
3.6746000E-001,-1.1124570E-006
3.6896000E-001,-1.1307383E-006
3.7046000E-001,-1.1476509E-006
3.7196000E-001,-1.1614688E-006
3.7346000E-001,-1.1752868E-006
3.7496000E-001,-1.1891047E-006
3.7646000E-001,-1.1985502E-006
3.7796000E-001,-1.2078759E-006
3.7946000E-001,-1.2172016E-006
3.8096000E-001,-1.2249027E-006
3.8246000E-001,-1.2316901E-006
3.8396000E-001,-1.2384775E-006
3.8546000E-001,-1.2453589E-006
3.8696000E-001,-1.2524529E-006
3.8846000E-001,-1.2595470E-006
3.8996000E-001,-1.2666410E-006
3.9146000E-001,-1.2762695E-006
3.9296000E-001,-1.2859673E-006
3.9446000E-001,-1.2956652E-006
3.9596000E-001,-1.3074857E-006
3.9746000E-001,-1.3205002E-006
3.9896000E-001,-1.3335148E-006
4.0046000E-001,-1.3472639E-006
4.0196000E-001,-1.3626739E-006
4.0346000E-001,-1.3780838E-006
4.0496000E-001,-1.3934938E-006
4.0646000E-001,-1.4097153E-006
4.0796000E-001,-1.4259591E-006
4.0946000E-001,-1.4422029E-006
4.1096000E-001,-1.4583580E-006
4.1246000E-001,-1.4744631E-006
4.1396000E-001,-1.4905683E-006
4.1546000E-001,-1.5066207E-006
4.1696000E-001,-1.5225542E-006
4.1846000E-001,-1.5384876E-006
4.1996000E-001,-1.5544210E-006
4.2146000E-001,-1.5704080E-006
4.2296000E-001,-1.5863965E-006
4.2446000E-001,-1.6023850E-006
4.2596000E-001,-1.6183274E-006
4.2746000E-001,-1.6342440E-006
4.2896000E-001,-1.6501606E-006
4.3046000E-001,-1.6660261E-006
4.3196000E-001,-1.6817760E-006
4.3346000E-001,-1.6975260E-006
4.3496000E-001,-1.7132759E-006
4.3646000E-001,-1.7296743E-006
4.3796000E-001,-1.7460904E-006
4.3946000E-001,-1.7625065E-006
4.4096000E-001,-1.7806161E-006
4.4246000E-001,-1.7996783E-006
4.4396000E-001,-1.8187405E-006
4.4546000E-001,-1.8393410E-006
4.4696000E-001,-1.8634194E-006
4.4846000E-001,-1.8874979E-006
4.4996000E-001,-1.9115763E-006
4.5146000E-001,-1.9421363E-006
4.5296000E-001,-1.9728738E-006
4.5446000E-001,-2.0036114E-006
4.5596000E-001,-2.0384153E-006
4.5746000E-001,-2.0755066E-006
4.5896000E-001,-2.1125978E-006
4.6046000E-001,-2.1504946E-006
4.6196000E-001,-2.1902128E-006
4.6346000E-001,-2.2299309E-006
4.6496000E-001,-2.2696490E-006
4.6646000E-001,-2.3041463E-006
4.6796000E-001,-2.3385006E-006
4.6946000E-001,-2.3728549E-006
4.7096000E-001,-2.3970901E-006
4.7246000E-001,-2.4156335E-006
4.7396000E-001,-2.4341768E-006
4.7546000E-001,-2.4455210E-006
4.7696000E-001,-2.4405889E-006
4.7846000E-001,-2.4356567E-006
4.7996000E-001,-2.4307246E-006
4.8146000E-001,-2.4043119E-006
