lon,lat
22.926108999999997,40.645276
22.926310484167363,40.645170847784
22.92651196832896,40.64506569571433
22.926713452075386,40.64496054241927
22.926914935789256,40.64485538918077
22.927116419106852,40.6447502347802
22.927317902374515,40.64464508037799
22.92751938526174,40.64453992486681
22.927720868079536,40.64443476928865
22.927922350540015,40.64432961267903
22.92812383290792,40.64422445592489
22.928325314941663,40.64411929821688
22.9285267968597,40.644014140286856
22.92872830759628,40.643909079143995
22.928929831195862,40.643804061299754
22.929131338212976,40.64369898800414
22.929332835876615,40.64359388350458
22.929534323208404,40.64348874454596
22.92973580329282,40.64338358146644
22.929937261689943,40.643278345948254
22.930138701337917,40.64317304783561
22.930340133648528,40.64306772535159
22.930541558184643,40.64296237703471
22.93074298252448,40.642857028227944
22.93094440660932,40.64275167873494
22.93114583052074,40.64264632882842
22.93134725415435,40.642540978159424
22.931548677637334,40.64243562715317
22.931750100819663,40.64233027530808
22.9319515238742,40.64222492320208
22.932152946605253,40.64211957018094
22.93235436923134,40.64201421697517
22.932555791511096,40.64190886277794
22.932757213708708,40.641803508472385
22.932958635537197,40.64169815309921
22.933160137154157,40.64159306716183
22.933362164890656,40.64148976052756
22.93356414879226,40.64138630511985
22.933765688218607,40.64128134443903
22.933967219684412,40.641176357126874
22.934168750729494,40.641071368567765
22.93437028176523,40.64096638014242
22.934571785189753,40.640861299259385
22.934773287691595,40.64075621544777
22.93497478689109,40.6406511207304
22.935176285761592,40.640546025075615
22.93537778424486,40.64044092828819
22.935579282666737,40.640335831460426
22.93578078072295,40.64023073357235
22.935982278695384,40.64012563556892
22.93618377632533,40.6400205365829
22.936385273848305,40.639915437403765
22.93658677105198,40.63981033731981
22.936788268125508,40.63970523696504
22.936989764902897,40.639600135783134
22.937191261526944,40.63949503425268
22.93739275787804,40.63938993197282
22.93759425405262,40.63928482926676
22.937795749977415,40.63917972588894
22.937997245702512,40.63907462200723
22.938198741200992,40.63896951753144
22.938400236476593,40.63886441247409
22.938601731548754,40.63875930690036
22.938803226374855,40.63865420066742
22.939004721020687,40.63854909399574
22.93920621539729,40.63844398658719
22.93940770961677,40.63833887881753
22.93960920354385,40.63823377023334
22.93981069733697,40.63812866136569
22.94001219081452,40.63802355160591
22.940213684181273,40.63791844164026
22.9404151772093,40.63781333070491
22.94061667014967,40.63770821964127
22.940818162728164,40.63760310753034
22.941019655242144,40.637497995368726
22.941221147371085,40.6373928820822
22.94142263945691,40.637287768816705
22.94162413113805,40.6371826543605
22.941825569484493,40.63707736274867
22.942026277852744,40.636969660977066
22.94222692796268,40.63686176980794
22.942426354857087,40.63674998572434
22.942625744520257,40.63663808380965
22.94282541796966,40.63652707030474
22.943025105289202,40.63641610093911
22.94322615163385,40.63630950920455
22.943427275055942,40.63620317046888
22.94362839807161,40.63609683055878
22.943829521039415,40.63599049065979
22.94403064361386,40.63588414962957
22.944231766123288,40.63577780855377
22.944432888260593,40.635671466417016
22.944634010311653,40.63556512416446
22.94483513201181,40.63545878092112
22.945036253604467,40.63535243749175
22.945237374867464,40.63524609314184
22.94543849600172,40.63513974853571
22.94563961682754,40.635033403079184
22.94584073750338,40.63492705729625
22.946041857892016,40.634820710733166
22.946242978109463,40.63471436377352
22.94644445575878,40.63460921109866
22.946646191543007,40.63450492257482
22.946848031268654,40.63440098692441
22.947049964831805,40.63429737001556
22.947251898189634,40.634193752568024
22.947453831313865,40.63409013448547
22.94765576425808,40.63398651595045
22.947857696943412,40.63388289669433
22.948059629474027,40.63377927707191
22.94826156172044,40.63367565664216
22.94846349383741,40.633572035932254
22.948665425644897,40.63346841432889
22.94886735734822,40.633364792531516
22.949069288716775,40.63326116975455
22.949271220006445,40.633157546869704
22.949473150936075,40.633053922919196
22.949675081812092,40.63295029894692
22.94987701230277,40.63284667382282
22.950078942757116,40.63274304873582
22.950280872816837,40.632639422465374
22.95048280285189,40.632535796271775
22.95068473247825,40.63243216884688
22.950886662090994,40.63232854153645
22.951088591287004,40.63222491296735
22.951290520460738,40.632121284483254
22.951492449243073,40.63201765482678
22.951694377977862,40.63191402516924
22.951896306346434,40.63181039442516
22.952098234642254,40.63170676359414
22.952300162597094,40.63160313176256
22.95250209045392,40.631499499758
22.952704017995007,40.6313958668389
22.952905945412827,40.631292233660794
22.95310787254016,40.631188599654195
22.95330979951897,40.631084965302584
22.953515618634555,40.63099655089132
22.953723945394984,40.63091812414592
22.953932409368836,40.630840340482244
22.95414104109227,40.630763343958925
22.954349670746623,40.63068633772688
22.9545582953043,40.63060930745061
22.954766921298674,40.63053228406648
22.95497555708195,40.63045530712921
22.95518412094657,40.63037799634461
22.955389080148926,40.63028541616406
22.955593829612752,40.63019196304663
22.95579536838127,40.63008707779005
22.955996435249105,40.62998056217632
22.956197501735755,40.629874045474864
22.956398568143957,40.62976752868443
22.956599634191907,40.62966101087531
22.95680070014047,40.62955449290821
22.957001777887438,40.62944801404808
22.957202859816334,40.62934154915981
22.957403943359047,40.62923508976901
22.95760502761807,40.629128632912696
22.957806119956597,40.62902220290587
22.958007216706072,40.62891578763487
22.958206762373727,40.628804457302884
22.95840527206159,40.628689866540185
22.958598058672905,40.628560004354156
22.958786897797914,40.62841972599083
22.95896591934767,40.62825913389882
22.959140601529032,40.628089804112214
22.959295539508194,40.62788984819441
22.959448669275723,40.627687313457535
22.959601421019492,40.62748428062549
22.959754171923862,40.62728124730695
22.959906922321895,40.627078213939875
22.96005967156742,40.62687517967463
22.960212420267176,40.62667214530904
22.960365168206355,40.62646911056064
22.960517931170703,40.62626609618749
22.960670701438392,40.626063092036304
22.960823489127385,40.625860111417154
22.960976276172968,40.625657130568506
22.96112906258874,40.62545414950825
22.96128184790414,40.625251167617385
22.96143463274635,40.62504818572096
22.961587416631907,40.624845203183014
22.961737375034872,40.6246386113036
22.96188510482414,40.62442920173522
22.962010040899443,40.62419531882765
22.962117831559397,40.62394810408394
22.96220557150555,40.6236865826668
22.96226396393197,40.62341084553734
22.962318474577106,40.6231337315834
22.96237159635108,40.62285613414373
22.962424717559255,40.62257853766854
22.96247783794918,40.62230094207341
22.96253095777698,40.622023347443964
22.962584077058686,40.62174575378554
22.962637195714922,40.621468161071576
22.962690313603005,40.62119056925438
22.962743430938797,40.62091297840607
22.962796547728534,40.620635388528754
22.96284966382957,40.62035779957469
22.962902779219547,40.62008021153642
22.962955781231457,40.619802586829614
22.963008616832095,40.61952490783705
22.963061136244953,40.619247125184344
22.963107844357015,40.61896757097907
22.963113587617844,40.61868699980003
22.963060056394482,40.61840987100015
22.962965596451056,40.61815220888422
22.962851395795344,40.61790994939615
22.96272194457264,40.61768079647071
22.96256691164763,40.61748084193753
22.96239655431137,40.617306760763825
22.962209988330574,40.61716128782217
22.962020953543256,40.61702158223447
22.961830363436896,40.61688552920297
22.96163977381388,40.61674947526555
22.961449184403186,40.61661342108552
22.961258595533042,40.61647736585958
22.96106800681832,40.6163413105303
22.96087741870077,40.61620525401656
22.960686830612005,40.616069197709436
22.960496237562868,40.61593315382023
22.960305643525658,40.615797112626765
22.960115035207714,40.615661106671546
22.95992442671924,40.61552510141076
22.959733818852552,40.61538909490436
22.959543211116348,40.61525308835532
22.959352603944918,40.61511708070028
22.959161996961004,40.614981072862996
22.958971390484834,40.6148450640594
22.95878078425323,40.61470905493388
22.958590178472356,40.61457304498165
22.958399572993077,40.61443703456788
22.958208967907463,40.61430102346713
22.95801846488544,40.61416476331289
22.957828057668667,40.61402826943085
22.957640517187848,40.61388512700095
22.957454897869663,40.61373756091498
22.957326644996623,40.61351497262272
22.95724161630614,40.61325562433206
22.957212687312943,40.61297195905024
22.957229536751658,40.612686832613605
22.957249972170356,40.61240181242363
22.957270597353816,40.61211681755229
22.957291717799198,40.6118318870485
22.957313638176668,40.61154706345356
22.95733561513786,40.61126224856
22.957357591852023,40.61097743484712
22.957379568293035,40.610692622311355
22.957401544387288,40.61040781094279
22.957423520234528,40.61012300075482
