lon,lat,vs30,xvf
22.926109,40.645276,321.976603915289,-150
22.9265223367307,40.6450602846028,318.478948768466,-150
22.9269356707999,40.6448445677181,317.723717840045,-150
22.9273490022076,40.6446288493459,319.175456561488,-150
22.9277623309538,40.6444131294862,321.671817019631,-150
22.9281756570384,40.644197408139,324.081460525048,-150
22.9285889804616,40.6439816853044,325.858517612015,-150
22.9290025061335,40.6437661890251,327.192440452847,-150
22.929415905141,40.6435505532565,328.714212856457,-150
22.9298292182276,40.6433348233427,331.031936679504,-150
22.9302423342717,40.6431188760804,334.326174850709,-150
22.9306553764735,40.6429028482872,338.203608214786,-150
22.931068416012,40.6426868190085,341.770663032408,-150
22.9314814528873,40.6424707882445,343.856451229112,-150
22.9318944870994,40.642254755995,343.345222119818,-150
22.9323075186482,40.6420387222602,339.59467175631,-150
22.9327205475337,40.64182268704,332.842349102095,-150
22.9331335737559,40.6416066503347,324.385956612997,-150
22.9335495169966,40.6413939584018,316.434955774626,-150
22.9339630753776,40.641178516162,310.920657485075,-150
22.9343766310995,40.6409630724332,309.255368305152,-150
22.9347900476284,40.6407474752283,311.276627076675,-150
22.9352034459127,40.6405318591868,315.390048348457,-150
22.935616841537,40.6403162416572,319.252469980736,-150
22.9360302345013,40.6401006226396,320.756276500717,-150
22.9364436248054,40.639885002134,318.783524866693,-150
22.9368570124495,40.6396693801405,313.420144866679,-150
22.9372703974335,40.639453756659,305.691407932478,-150
22.9376837797574,40.6392381316897,297.130059140696,-150
22.9380971594211,40.6390225052326,289.435116117449,-150
22.9385105364246,40.6388068772877,284.226534982355,-150
22.938923910768,40.6385912478551,282.744653550051,-150
22.9393372824512,40.6383756169348,285.460331358357,-150
22.9397506514742,40.6381599845268,291.803822026151,-150
22.9401640178369,40.6379443506312,300.274472167815,-150
22.9405773815394,40.637728715248,308.949670879734,-150
22.9409907425816,40.6375130783773,316.105695864714,-150
22.9414041009636,40.637297440019,320.61261076155,-150
22.9418174566853,40.6370818001733,322.011242584035,-150
22.9422268791605,40.6368619361106,320.281317042794,-150
22.9426302272255,40.6366355680179,316.034326212404,-150
22.9430349101144,40.6364106232855,310.897244503506,-150
22.9434464801716,40.6361930162936,306.957834520278,-150
22.9438580475564,40.6359754078266,305.604531069905,-150
