δ,lnPGA,lnPGV
-7.39808719873,0.9459583825604246,-2.2843281694866273
-6.35780290447689,1.1852915105003223,-1.3817100451719602
-6.1645942748064755,1.176084186948825,-1.009406630874432
-6.117525746724234,1.2361743057347203,-0.6745343981033721
-5.846192237699691,1.1151646395340198,-0.6709806436187343
-5.845362573310502,1.103206120845003,-0.7634532782367909
-5.497751482259952,1.2679173584750352,-0.9125955923190354
-6.0640676120020185,1.2671471892025732,-0.46875990698900216
-5.721709621282298,1.3220984746097042,-0.6002570904481285
-5.4161230381442484,1.3607701728662989,-0.528271641050113
