sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
51,22.95714,40.57040,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
52,22.95951,40.57040,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
53,22.96189,40.57040,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
54,22.96427,40.57040,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
55,22.96664,40.57040,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
56,22.96902,40.57040,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
57,22.97140,40.57040,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
58,22.97378,40.57040,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
59,22.97615,40.57040,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
60,22.97853,40.57040,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
61,22.98091,40.57040,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
62,22.98328,40.57040,0.00000,CENOZOIC,2,2.64157E-02,4.13582E+02,-1.50000E+02,0
63,22.98566,40.57040,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
64,22.98804,40.57040,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
65,22.99041,40.57040,0.00000,CENOZOIC,2,4.22144E-02,4.55749E+02,-1.50000E+02,0
66,22.99279,40.57040,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
67,22.99517,40.57040,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
68,22.99755,40.57040,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
69,22.99992,40.57040,0.00000,CENOZOIC,2,5.04120E-02,4.82670E+02,-1.50000E+02,0
70,23.00230,40.57040,0.00000,CENOZOIC,2,5.42143E-02,4.97280E+02,-1.50000E+02,0
71,22.94287,40.57263,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
72,22.94525,40.57263,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
73,22.94763,40.57263,0.00000,UNKNOWN,2,2.57951E-02,5.53484E+02,-1.50000E+02,0
74,22.95000,40.57263,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
75,22.95238,40.57263,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
76,22.95476,40.57263,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
77,22.95714,40.57263,0.00000,UNKNOWN,2,3.35180E-02,4.51652E+02,-1.50000E+02,0
78,22.95951,40.57263,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
79,22.96189,40.57263,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
80,22.96427,40.57263,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
81,22.96664,40.57263,0.00000,UNKNOWN,2,3.09702E-02,3.93570E+02,-1.50000E+02,0
82,22.96902,40.57263,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
83,22.97140,40.57263,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
84,22.97378,40.57263,0.00000,UNKNOWN,2,2.79649E-02,3.91412E+02,-1.50000E+02,0
