δ,lnPGA,lnPGV
-7.7493149390386895,0.9829344384551926,-2.747791919955393
-8.103171997111103,0.8651877010088086,-2.610612018920054
-7.35114717000171,1.2821234665959194,-2.145208422275409
-7.520289558793787,0.5672542050034785,-2.7997326067438135
-7.497463844330814,0.7734159787053789,-2.443004358358633
-8.162826741642176,0.6318859292248012,-2.8918182856131023
-7.156576523384414,1.1041210338778875,-2.3469917338556066
-6.04588707916016,1.1903778858624343,-2.378578820528864
-6.180945105084198,2.0072914450701247,-2.0369929667590303
-6.426865924094492,1.3890536398589948,-2.3958428434731425
