lon,lat,vs30,xvf
22.926109,40.645276,321.976603915286,-150
22.9263104841674,40.645170847784,319.933727528013,-150
22.926511968329,40.6450656957143,318.532911525121,-150
22.9267134520754,40.6449605424193,317.800116083064,-150
22.9269149357893,40.6448553891808,317.701028716142,-150
22.9271164191069,40.6447502347802,318.1479519425,-150
22.9273179023745,40.644645080378,319.013838039963,-150
22.9275193852617,40.6445399248668,320.150638847455,-150
22.9277208680795,40.6444347692887,321.409868632213,-150
22.92792235054,40.644329612679,322.661682486206,-150
22.9281238329079,40.6442244559249,323.810203835355,-150
22.9283253149417,40.6441192982169,324.802625626562,-150
22.9285267968597,40.6440141402869,325.631493040373,-150
22.9287283075963,40.643909079144,326.331217278914,-150
22.9289298311959,40.6438040612998,326.964806284487,-150
22.929131338213,40.6436989880041,327.612788646745,-150
22.9293328358766,40.6435938835046,328.359682514055,-150
22.9295343232084,40.643488744546,329.278510458099,-150
22.9297358032928,40.6433835814664,330.420035627781,-150
22.9299372616899,40.6432783459483,331.8047326656,-150
22.9301387013379,40.6431730478356,333.419619108475,-150
22.9303401336485,40.6430677253516,335.217842241327,-150
22.9305415581846,40.6429623770347,337.120801945794,-150
22.9307429825245,40.6428570282279,339.023366094222,-150
22.9309444066093,40.6427516787349,340.7996957128,-150
22.9311458305207,40.6426463288284,342.311078639152,-150
22.9313472541543,40.6425409781594,343.414925968967,-150
22.9315486776373,40.6424356271532,343.97523725475,-150
22.9317501008197,40.6423302753081,343.874331511378,-150
22.9319515238742,40.6422249232021,343.025496149703,-150
22.9321529466052,40.6421195701809,341.385361237573,-150
22.9323543692313,40.6420142169752,338.964732267296,-150
22.9325557915111,40.6419088627779,335.835741069669,-150
22.9327572137087,40.6418035084724,332.133844813759,-150
22.9329586355372,40.6416981530992,328.052794452682,-150
22.9331601371542,40.6415930671618,323.842580969381,-150
22.9333621648907,40.6414897605276,319.823204233199,-150
22.9335641487923,40.6413863051199,316.1842981715,-150
22.9337656882186,40.641281344439,313.123136715285,-150
22.9339672196844,40.6411763571269,310.8838079454,-150
22.9341687507295,40.6410713685678,309.583596632277,-150
22.9343702817652,40.6409663801424,309.250613055844,-150
22.9345717851898,40.6408612992594,309.819099882141,-150
22.9347732876916,40.6407562154478,311.139473976916,-150
22.9349747868911,40.6406511207304,312.989655796825,-150
22.9351762857616,40.6405460250756,315.101074834061,-150
22.9353777842449,40.6404409282882,317.187187304035,-150
22.9355792826667,40.6403358314604,318.972843675941,-150
22.935780780723,40.6402307335724,320.220468546795,-150
