sids,lon,lat,depth,vs30,vs30measured
102,22.92623,40.57040,0.00000,3.48845E+02,0
103,22.92861,40.57040,0.00000,3.48845E+02,0
104,22.93099,40.57040,0.00000,3.48845E+02,0
105,22.93337,40.57040,0.00000,3.48845E+02,0
106,22.93574,40.57040,0.00000,3.48845E+02,0
107,22.93812,40.57040,0.00000,3.48845E+02,0
108,22.94050,40.57040,0.00000,3.48845E+02,0
109,22.94287,40.57040,0.00000,3.48845E+02,0
110,22.94525,40.57040,0.00000,3.48845E+02,0
111,22.94763,40.57040,0.00000,3.48845E+02,0
112,22.95000,40.57040,0.00000,3.48845E+02,0
113,22.95238,40.57040,0.00000,3.48845E+02,0
114,22.95476,40.57040,0.00000,3.48845E+02,0
115,22.95714,40.57040,0.00000,3.48845E+02,0
116,22.95951,40.57040,0.00000,3.48845E+02,0
117,22.96189,40.57040,0.00000,3.48845E+02,0
118,22.96427,40.57040,0.00000,3.48845E+02,0
119,22.96664,40.57040,0.00000,3.48845E+02,0
120,22.96902,40.57040,0.00000,3.48845E+02,0
121,22.97140,40.57040,0.00000,3.48845E+02,0
122,22.97378,40.57040,0.00000,3.48845E+02,0
123,22.97615,40.57040,0.00000,3.48845E+02,0
124,22.97853,40.57040,0.00000,3.48845E+02,0
125,22.98091,40.57040,0.00000,3.48845E+02,0
126,22.98328,40.57040,0.00000,3.48845E+02,0
127,22.98566,40.57040,0.00000,3.48845E+02,0
128,22.98804,40.57040,0.00000,3.48845E+02,0
129,22.99041,40.57040,0.00000,3.48845E+02,0
130,22.99279,40.57040,0.00000,3.48845E+02,0
131,22.99517,40.57040,0.00000,3.48845E+02,0
132,22.99755,40.57040,0.00000,3.48845E+02,0
133,22.99992,40.57040,0.00000,3.48845E+02,0
134,23.00230,40.57040,0.00000,3.48845E+02,0
135,22.89771,40.57263,0.00000,3.48845E+02,0
136,22.90009,40.57263,0.00000,3.48845E+02,0
137,22.90246,40.57263,0.00000,3.48845E+02,0
138,22.90484,40.57263,0.00000,3.48845E+02,0
139,22.90722,40.57263,0.00000,3.48845E+02,0
140,22.90960,40.57263,0.00000,3.48845E+02,0
141,22.91197,40.57263,0.00000,3.48845E+02,0
142,22.91435,40.57263,0.00000,3.48845E+02,0
143,22.91673,40.57263,0.00000,3.48845E+02,0
144,22.91910,40.57263,0.00000,3.48845E+02,0
145,22.92148,40.57263,0.00000,3.48845E+02,0
146,22.92386,40.57263,0.00000,3.48845E+02,0
147,22.92623,40.57263,0.00000,3.48845E+02,0
148,22.92861,40.57263,0.00000,3.48845E+02,0
149,22.93099,40.57263,0.00000,3.48845E+02,0
150,22.93337,40.57263,0.00000,3.48845E+02,0
151,22.93574,40.57263,0.00000,3.48845E+02,0
152,22.93812,40.57263,0.00000,3.48845E+02,0
153,22.94050,40.57263,0.00000,3.48845E+02,0
154,22.94287,40.57263,0.00000,3.48845E+02,0
155,22.94525,40.57263,0.00000,3.48845E+02,0
156,22.94763,40.57263,0.00000,3.48845E+02,0
157,22.95000,40.57263,0.00000,3.48845E+02,0
158,22.95238,40.57263,0.00000,3.48845E+02,0
159,22.95476,40.57263,0.00000,3.48845E+02,0
160,22.95714,40.57263,0.00000,3.48845E+02,0
161,22.95951,40.57263,0.00000,3.48845E+02,0
162,22.96189,40.57263,0.00000,3.48845E+02,0
163,22.96427,40.57263,0.00000,3.48845E+02,0
164,22.96664,40.57263,0.00000,3.48845E+02,0
165,22.96902,40.57263,0.00000,3.48845E+02,0
166,22.97140,40.57263,0.00000,3.48845E+02,0
167,22.97378,40.57263,0.00000,3.48845E+02,0
168,22.97615,40.57263,0.00000,3.48845E+02,0
169,22.97853,40.57263,0.00000,3.48845E+02,0
170,22.98091,40.57263,0.00000,3.48845E+02,0
171,22.98328,40.57263,0.00000,3.48845E+02,0
172,22.98566,40.57263,0.00000,3.48845E+02,0
173,22.98804,40.57263,0.00000,3.48845E+02,0
174,22.99041,40.57263,0.00000,3.48845E+02,0
175,22.99279,40.57263,0.00000,3.48845E+02,0
176,22.99517,40.57263,0.00000,3.48845E+02,0
177,22.99755,40.57263,0.00000,3.48845E+02,0
178,22.99992,40.57263,0.00000,3.48845E+02,0
179,23.00230,40.57263,0.00000,3.48845E+02,0
180,22.89771,40.57486,0.00000,3.48845E+02,0
181,22.90009,40.57486,0.00000,3.48845E+02,0
182,22.90246,40.57486,0.00000,3.48845E+02,0
183,22.90484,40.57486,0.00000,3.48845E+02,0
184,22.90722,40.57486,0.00000,3.48845E+02,0
185,22.90960,40.57486,0.00000,3.48845E+02,0
186,22.91197,40.57486,0.00000,3.48845E+02,0
187,22.91435,40.57486,0.00000,3.48845E+02,0
188,22.91673,40.57486,0.00000,3.48845E+02,0
189,22.91910,40.57486,0.00000,3.48845E+02,0
190,22.92148,40.57486,0.00000,3.48845E+02,0
191,22.92386,40.57486,0.00000,3.48845E+02,0
192,22.92623,40.57486,0.00000,3.48845E+02,0
193,22.92861,40.57486,0.00000,3.48845E+02,0
194,22.93099,40.57486,0.00000,3.48845E+02,0
195,22.93337,40.57486,0.00000,3.48845E+02,0
196,22.93574,40.57486,0.00000,3.48845E+02,0
