sids,lon,lat,depth,vs30,vs30measured,region,xvf,slope,geology
58,22.93780,40.63918,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
59,22.93800,40.63907,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
60,22.93820,40.63897,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
61,22.93840,40.63886,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
62,22.93860,40.63876,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
63,22.93880,40.63865,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
64,22.93900,40.63855,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
65,22.93921,40.63844,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
66,22.93941,40.63834,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
67,22.93961,40.63823,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
68,22.93981,40.63813,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
69,22.94001,40.63802,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
70,22.94021,40.63792,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
71,22.94042,40.63781,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
72,22.94062,40.63771,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
73,22.94082,40.63760,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
74,22.94102,40.63750,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
75,22.94122,40.63739,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
76,22.94142,40.63729,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
77,22.94162,40.63718,0.00000,4.15199E+02,0,2,-1.50000E+02,2.99182E-02,UNKNOWN
78,22.94183,40.63708,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
79,22.94203,40.63697,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
80,22.94223,40.63686,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
81,22.94243,40.63675,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
82,22.94263,40.63664,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
83,22.94283,40.63653,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
84,22.94303,40.63642,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
85,22.94323,40.63631,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
86,22.94343,40.63620,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
87,22.94363,40.63610,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
88,22.94383,40.63599,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
89,22.94403,40.63588,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
90,22.94423,40.63578,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
91,22.94443,40.63567,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
92,22.94463,40.63557,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
93,22.94484,40.63546,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
94,22.94504,40.63535,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
95,22.94524,40.63525,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
96,22.94544,40.63514,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
97,22.94564,40.63503,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
98,22.94584,40.63493,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
99,22.94604,40.63482,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
100,22.94624,40.63471,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
101,22.94644,40.63461,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
102,22.94665,40.63450,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
103,22.94685,40.63440,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
104,22.94705,40.63430,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
105,22.94725,40.63419,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
106,22.94745,40.63409,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
107,22.94766,40.63399,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
108,22.94786,40.63388,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
109,22.94806,40.63378,0.00000,4.83245E+02,0,2,-1.50000E+02,4.98226E-02,UNKNOWN
