t,Xacceleration
3.4617000E-001,1.0235803E-004
3.4817000E-001,8.3518157E-005
3.5017000E-001,6.4725803E-005
3.5217000E-001,4.6558381E-005
3.5417000E-001,2.9596902E-005
3.5617000E-001,1.4379717E-005
3.5817000E-001,1.3587253E-006
3.6017000E-001,-9.1383805E-006
3.6217000E-001,-1.6938751E-005
3.6417000E-001,-2.2043234E-005
3.6617000E-001,-2.4628487E-005
3.6817000E-001,-2.5030724E-005
3.7017000E-001,-2.3713721E-005
3.7217000E-001,-2.1225918E-005
3.7417000E-001,-1.8150748E-005
3.7617000E-001,-1.5055075E-005
3.7817000E-001,-1.2442113E-005
3.8017000E-001,-1.0714218E-005
3.8217000E-001,-1.0149683E-005
3.8417000E-001,-1.0894785E-005
3.8617000E-001,-1.2968250E-005
3.8817000E-001,-1.6273527E-005
3.9017000E-001,-2.0615135E-005
3.9217000E-001,-2.5716427E-005
3.9417000E-001,-3.1236177E-005
3.9617000E-001,-3.6783570E-005
3.9817000E-001,-4.1934147E-005
4.0017000E-001,-4.6249835E-005
4.0217000E-001,-4.9305017E-005
4.0417000E-001,-5.0718892E-005
4.0617000E-001,-5.0187123E-005
4.0817000E-001,-4.7516215E-005
4.1017000E-001,-4.2646376E-005
4.1217000E-001,-3.5663267E-005
4.1417000E-001,-2.6795548E-005
4.1617000E-001,-1.6404205E-005
4.1817000E-001,-4.9338577E-006
4.2017000E-001,7.1028898E-006
4.2217000E-001,1.9182445E-005
4.2417000E-001,3.0800377E-005
4.2617000E-001,4.1495027E-005
4.2817000E-001,5.0872267E-005
4.3017000E-001,5.8608645E-005
4.3217000E-001,6.4450630E-005
4.3417000E-001,6.8210763E-005
4.3617000E-001,6.9758661E-005
4.3817000E-001,6.9013231E-005
4.4017000E-001,6.5938922E-005
4.4217000E-001,6.0538643E-005
4.4417000E-001,5.2850954E-005
4.4617000E-001,4.2946849E-005
4.4817000E-001,3.0930859E-005
4.5017000E-001,1.6946248E-005
4.5217000E-001,1.1744618E-006
4.5417000E-001,-1.6158481E-005
4.5617000E-001,-3.4773254E-005
4.5817000E-001,-5.4332716E-005
4.6017000E-001,-7.4438622E-005
4.6217000E-001,-9.4629696E-005
4.6417000E-001,-1.1439218E-004
4.6617000E-001,-1.3317577E-004
4.6817000E-001,-1.5041677E-004
4.7017000E-001,-1.6556761E-004
4.7217000E-001,-1.7813217E-004
4.7417000E-001,-1.8769727E-004
4.7617000E-001,-1.9396421E-004
4.7817000E-001,-1.9677306E-004
4.8017000E-001,-1.9611623E-004
4.8217000E-001,-1.9214058E-004
4.8417000E-001,-1.8513814E-004
4.8617000E-001,-1.7552623E-004
4.8817000E-001,-1.6381689E-004
4.9017000E-001,-1.5057843E-004
4.9217000E-001,-1.3639891E-004
4.9417000E-001,-1.2184391E-004
4.9617000E-001,-1.0742079E-004
4.9817000E-001,-9.3552605E-005
5.0017000E-001,-8.0561591E-005
5.0217000E-001,-6.8661698E-005
5.0417000E-001,-5.7964007E-005
5.0617000E-001,-4.8489146E-005
5.0817000E-001,-4.0186014E-005
5.1017000E-001,-3.2953491E-005
5.1217000E-001,-2.6662245E-005
5.1417000E-001,-2.1175212E-005
5.1617000E-001,-1.6363813E-005
5.1817000E-001,-1.2120060E-005
5.2017000E-001,-8.3649804E-006
5.2217000E-001,-5.0527916E-006
5.2417000E-001,-2.1709904E-006
5.2617000E-001,2.6147671E-007
5.2817000E-001,2.1960944E-006
5.3017000E-001,3.5587203E-006
5.3217000E-001,4.2558785E-006
5.3417000E-001,4.1828490E-006
5.3617000E-001,3.2324535E-006
5.3817000E-001,1.3048379E-006
5.4017000E-001,-1.6812522E-006
5.4217000E-001,-5.7772772E-006
5.4417000E-001,-1.0995556E-005
5.4617000E-001,-1.7301835E-005
5.4817000E-001,-2.4609781E-005
5.5017000E-001,-3.2778573E-005
5.5217000E-001,-4.1614563E-005
5.5417000E-001,-5.0876846E-005
5.5617000E-001,-6.0286242E-005
5.5817000E-001,-6.9537211E-005
5.6017000E-001,-7.8312182E-005
5.6217000E-001,-8.6297351E-005
5.6417000E-001,-9.3198767E-005
5.6617000E-001,-9.8757580E-005
5.6817000E-001,-1.0276321E-004
5.7017000E-001,-1.0506332E-004
5.7217000E-001,-1.0556992E-004
5.7417000E-001,-1.0426111E-004
5.7617000E-001,-1.0117847E-004
5.7817000E-001,-9.6420967E-005
5.8017000E-001,-9.0136668E-005
5.8217000E-001,-8.2513110E-005
5.8417000E-001,-7.3767164E-005
5.8617000E-001,-6.4135183E-005
5.8817000E-001,-5.3864506E-005
5.9017000E-001,-4.3206204E-005
5.9217000E-001,-3.2408602E-005
5.9417000E-001,-2.1711315E-005
5.9617000E-001,-1.1339349E-005
5.9817000E-001,-1.4969254E-006
6.0017000E-001,7.6390138E-006
6.0217000E-001,1.5925380E-005
6.0417000E-001,2.3259123E-005
6.0617000E-001,2.9582050E-005
6.0817000E-001,3.4883377E-005
6.1017000E-001,3.9199734E-005
6.1217000E-001,4.2612568E-005
6.1417000E-001,4.5242516E-005
6.1617000E-001,4.7240524E-005
6.1817000E-001,4.8776555E-005
6.2017000E-001,5.0026844E-005
6.2217000E-001,5.1161171E-005
6.2417000E-001,5.2331511E-005
6.2617000E-001,5.3662604E-005
6.2817000E-001,5.5245025E-005
6.3017000E-001,5.7131086E-005
6.3217000E-001,5.9333690E-005
6.3417000E-001,6.1828719E-005
6.3617000E-001,6.4558629E-005
6.3817000E-001,6.7439422E-005
6.4017000E-001,7.0368104E-005
6.4217000E-001,7.3230882E-005
6.4417000E-001,7.5912058E-005
6.4617000E-001,7.8301625E-005
6.4817000E-001,8.0302026E-005
6.5017000E-001,8.1833307E-005
6.5217000E-001,8.2837243E-005
6.5417000E-001,8.3278307E-005
6.5617000E-001,8.3144062E-005
6.5817000E-001,8.2443559E-005
6.6017000E-001,8.1204641E-005
6.6217000E-001,7.9469972E-005
6.6417000E-001,7.7291811E-005
6.6617000E-001,7.4727975E-005
6.6817000E-001,7.1838643E-005
6.7017000E-001,6.8683389E-005
6.7217000E-001,6.5319579E-005
6.7417000E-001,6.1802410E-005
6.7617000E-001,5.8186120E-005
6.7817000E-001,5.4526085E-005
6.8017000E-001,5.0881600E-005
6.8217000E-001,4.7318373E-005
6.8417000E-001,4.3909999E-005
6.8617000E-001,4.0738399E-005
6.8817000E-001,3.7892853E-005
6.9017000E-001,3.5467179E-005
6.9217000E-001,3.3555300E-005
6.9417000E-001,3.2245516E-005
6.9617000E-001,3.1613928E-005
6.9817000E-001,3.1717825E-005
7.0017000E-001,3.2589773E-005
7.0217000E-001,3.4233218E-005
7.0417000E-001,3.6619812E-005
7.0617000E-001,3.9688478E-005
7.0817000E-001,4.3346304E-005
7.1017000E-001,4.7471250E-005
7.1217000E-001,5.1916477E-005
7.1417000E-001,5.6515997E-005
7.1617000E-001,6.1091072E-005
7.1817000E-001,6.5456927E-005
7.2017000E-001,6.9429495E-005
7.2217000E-001,7.2831952E-005
7.2417000E-001,7.5500881E-005
7.2617000E-001,7.7291915E-005
7.2817000E-001,7.8084746E-005
7.3017000E-001,7.7787390E-005
7.3217000E-001,7.6339658E-005
7.3417000E-001,7.3715649E-005
7.3617000E-001,6.9925095E-005
7.3817000E-001,6.5013412E-005
7.4017000E-001,5.9060362E-005
7.4217000E-001,5.2177298E-005
7.4417000E-001,4.4503037E-005
7.4617000E-001,3.6198463E-005
7.4817000E-001,2.7440012E-005
7.5017000E-001,1.8412382E-005
7.5217000E-001,9.3009135E-006
7.5417000E-001,2.8412560E-007
7.5617000E-001,-8.4732519E-006
7.5817000E-001,-1.6826397E-005
7.6017000E-001,-2.4655318E-005
7.6217000E-001,-3.1868316E-005
7.6417000E-001,-3.8403686E-005
7.6617000E-001,-4.4229801E-005
7.6817000E-001,-4.9343473E-005
7.7017000E-001,-5.3767045E-005
7.7217000E-001,-5.7544241E-005
7.7417000E-001,-6.0735147E-005
7.7617000E-001,-6.3410692E-005
7.7817000E-001,-6.5646936E-005
7.8017000E-001,-6.7519506E-005
7.8217000E-001,-6.9098561E-005
7.8417000E-001,-7.0444466E-005
7.8617000E-001,-7.1604429E-005
7.8817000E-001,-7.2610170E-005
7.9017000E-001,-7.3476717E-005
7.9217000E-001,-7.4202436E-005
7.9417000E-001,-7.4770363E-005
7.9617000E-001,-7.5150630E-005
7.9817000E-001,-7.5303856E-005
8.0017000E-001,-7.5185518E-005
8.0217000E-001,-7.4750706E-005
8.0417000E-001,-7.3959247E-005
8.0617000E-001,-7.2781004E-005
8.0817000E-001,-7.1200700E-005
8.1017000E-001,-6.9221999E-005
8.1217000E-001,-6.6870683E-005
8.1417000E-001,-6.4196319E-005
8.1617000E-001,-6.1272116E-005
8.1817000E-001,-5.8193190E-005
8.2017000E-001,-5.5073252E-005
8.2217000E-001,-5.2039502E-005
8.2417000E-001,-4.9226334E-005
8.2617000E-001,-4.6768249E-005
