t,Xacceleration
1.7000000E-004,3.4530580E-009
2.1700000E-003,1.0789087E-008
4.1700000E-003,1.8125116E-008
6.1700000E-003,3.4560744E-008
8.1700000E-003,5.7451644E-008
1.0170000E-002,8.2488690E-008
1.2170000E-002,1.3062838E-007
1.4170000E-002,1.7876806E-007
1.6170000E-002,2.4556464E-007
1.8170000E-002,3.2559644E-007
2.0170000E-002,4.0837713E-007
2.2170000E-002,5.2074880E-007
2.4170000E-002,6.3312047E-007
2.6170000E-002,7.5732611E-007
2.8170000E-002,8.8992678E-007
3.0170000E-002,1.0218351E-006
3.2170000E-002,1.1462901E-006
3.4170000E-002,1.2707452E-006
3.6170000E-002,1.3688817E-006
3.8170000E-002,1.4483478E-006
4.0170000E-002,1.5216513E-006
4.2170000E-002,1.5286155E-006
4.4170000E-002,1.5355798E-006
4.6170000E-002,1.4988808E-006
4.8170000E-002,1.4312069E-006
5.0170000E-002,1.3594066E-006
5.2170000E-002,1.2431861E-006
5.4170000E-002,1.1269656E-006
5.6170000E-002,1.0069089E-006
5.8170000E-002,8.8413069E-007
6.0170000E-002,7.6404970E-007
6.2170000E-002,6.7300312E-007
6.4170000E-002,5.8195653E-007
6.6170000E-002,5.2059454E-007
6.8170000E-002,4.8029085E-007
7.0170000E-002,4.4391640E-007
7.2170000E-002,4.4983898E-007
7.4170000E-002,4.5576157E-007
7.6170000E-002,4.7646135E-007
7.8170000E-002,5.0764410E-007
8.0170000E-002,5.3887201E-007
8.2170000E-002,5.7058613E-007
8.4170000E-002,6.0230025E-007
8.6170000E-002,6.2417888E-007
8.8170000E-002,6.3908019E-007
9.0170000E-002,6.5212828E-007
9.2170000E-002,6.4522695E-007
9.4170000E-002,6.3832563E-007
9.6170000E-002,6.2196685E-007
9.8170000E-002,5.9889893E-007
1.0017000E-001,5.7535258E-007
1.0217000E-001,5.4665611E-007
1.0417000E-001,5.1795964E-007
1.0617000E-001,4.9148826E-007
1.0817000E-001,4.6659536E-007
1.1017000E-001,4.4242748E-007
1.1217000E-001,4.2606435E-007
1.1417000E-001,4.0970121E-007
1.1617000E-001,3.9809369E-007
1.1817000E-001,3.8985980E-007
1.2017000E-001,3.8200797E-007
1.2217000E-001,3.7826891E-007
1.2417000E-001,3.7452986E-007
1.2617000E-001,3.7094200E-007
1.2817000E-001,3.6746141E-007
1.3017000E-001,3.6376216E-007
1.3217000E-001,3.5770908E-007
1.3417000E-001,3.5165601E-007
1.3617000E-001,3.4369526E-007
1.3817000E-001,3.3438121E-007
1.4017000E-001,3.2487692E-007
1.4217000E-001,3.1332474E-007
1.4417000E-001,3.0177255E-007
1.4617000E-001,2.8990549E-007
1.4817000E-001,2.7781507E-007
1.5017000E-001,2.6579669E-007
1.5217000E-001,2.5455387E-007
