KP,Surface
0.0,6.73
3.421006596128594,6.7151888055295315
6.842070784418523,6.7003630372375005
10.263231390858786,6.685464984336903
13.684385822229952,6.670566023943933
17.10550058173001,6.655661233345686
20.526603404054267,6.640761969823601
23.947505258538197,6.625955757168649
27.36840711302213,6.611149544513697
30.788947046979647,6.5965249440335345
34.20947859241314,6.581904552925264
37.62952187987179,6.56758492038014
41.04947443094556,6.553343978734368
44.46892650111113,6.539554441606847
47.88807647807979,6.5261943692141395
51.30687216875434,6.513324116153917
54.72530857108736,6.500803263878295
58.14346716411064,6.48752830216227
61.56142150928942,6.47114261184618
64.97918898873947,6.448181228576338
68.39682551442412,6.419469674442491
71.8143873943314,6.387499117479928
75.23187371293614,6.353912549910409
78.64925535764934,6.319478724231413
82.0665112847021,6.28453265166088
85.4835477980614,6.249227774028585
88.90035333180015,6.213822959249587
92.31693240479763,6.178436814889336
95.73324985340108,6.143173827091918
99.14922208067759,6.108256059229202
102.56481970313426,6.074138846130465
105.98008330961463,6.041757266541699
109.39511452062746,6.014746128256396
112.81013045114345,5.993680965711261
116.22526975309367,5.976614684931287
119.640575433653,5.961550523042424
123.05638703437977,5.947905446950539
126.47244031736506,5.934404161097975
129.88917706335712,5.921282494697417
133.30591380934922,5.90816082829686
136.72415246598464,5.895082786015134
140.1424066607656,5.882005195050475
143.56080491518122,5.868918361438651
146.9812107773993,5.8557027227621345
150.40161663961737,5.842487084085619
153.82202250183545,5.829271445409102
157.24327884602235,5.816010612108372
160.66570018412543,5.802687871013965
164.0881215222285,5.789365129919557
167.51054286033155,5.77604238882515
170.93323890656697,5.762708292340742
174.35705419111827,5.749327930798682
177.78086947566953,5.735947569256622
181.2046847602208,5.722567207714562
184.62850004477204,5.709186846172502
188.05264225434823,5.695794245907898
191.47701547048388,5.6823929977119
194.9013886866194,5.668991749515901
198.325761902755,5.655590501319903
201.7501351188906,5.642189253123903
205.17421321127495,5.628789096225333
208.5982088689534,5.615389244150695
212.0222045266318,5.601989392076057
215.44620018431024,5.5885895400014185
218.87019584198868,5.575189687926781
222.29292491613808,5.5618131367731936
225.7156239977807,5.548437137381901
229.1383230794233,5.535061137990609
232.56102216106584,5.521685138599317
235.98296201723943,5.508331133807826
239.40357675137392,5.495015517518999
242.82419148550844,5.481699901230171
246.24480621964295,5.468384284941344
249.66506098840196,5.455083654446036
253.08304990072753,5.441877354291836
256.50103881305307,5.428671054137637
259.91902772537867,5.4154647539834375
263.33572504106064,5.402362634113205
266.75107552456154,5.389369149829619
270.16642600806244,5.376375665546034
273.58075080703486,5.36366607899115
276.994265661054,5.351180675921767
280.40750110383885,5.3389479255496965
283.81989857715206,5.327472894343259
287.23203835703134,5.316678947692804
290.6438072257941,5.306865320289154
294.0553129452407,5.2990241008791195
297.46675725687936,5.292596633556682
300.8782054413106,5.28748364912385
304.2898062500732,5.283653939926767
307.70171723847625,5.280226534588112
311.1137947809178,5.2770151503016605
314.52654837567025,5.273820149318652
317.93943171865305,5.270628292625806
321.35279982288625,5.267420751241137
324.76647173675553,5.264203379944304
328.18017099150165,5.260984662570642
331.5944156971503,5.257739090944119
335.0086604027989,5.254493519317598
338.4229756084689,5.251244798208162
341.8374997138825,5.247986744815416
345.2520238192961,5.2447286914226705
348.66653029687717,5.241473051201595
352.0810029725768,5.238222038307374
355.49547564827657,5.234971025413152
358.90978364697594,5.2317224173031445
362.3238761301367,5.228476956374365
365.7379686132974,5.225231495445585
369.15163587933125,5.221999040947668
372.5650615014264,5.218773977791688
375.9784256924527,5.215551275862411
379.3909793743731,5.212359727480972
382.80353305629353,5.209168179099533
386.21533037112533,5.206068595974832
389.6269622099357,5.202998716162739
393.03799863452036,5.200206621481529
396.44880579060566,5.1978341426873165
399.85937359358184,5.196254354181535
403.26978707076296,5.196073197502767
406.6801584690736,5.197734434803102
410.09060254465646,5.200978946224834
413.5012352174567,5.205099259079737
416.9121263418671,5.209536382056384
420.32322531769205,5.214082893268138
423.7346215958302,5.218694414433707
427.14616619898896,5.223330208558774
430.55783774124586,5.2279867758991525
433.9696421755752,5.232663513219898
437.3814825628099,5.237345707370244
440.7933675747574,5.242028035636954
444.2052426609929,5.246706625603799
447.61705086459716,5.251363379472322
451.02878385683925,5.256007341079956
454.44040146734807,5.260631678083119
457.8518035637622,5.265175221774479
461.2630345545507,5.269640089933994
464.67403402836686,5.273940548763216
468.08483673487945,5.277838458521589
471.4955171337082,5.280958133551497
474.9061440679002,5.282704759704947
478.31679481066647,5.28324646034895
481.7275646077451,5.283272064438775
485.138471266908,5.283272064438775
488.5494867438738,5.283272064438775
491.9605755153133,5.2832720644387745
495.3717056761367,5.283272064438775
498.78283587015636,5.283272064438775
502.19392807408315,5.283272064438775
505.60495003426394,5.283272064438775
509.01586548956107,5.283272064438775
512.4266465734621,5.2833473298853075
515.8373183077306,5.284724735170855
519.2479884299831,5.288932268612178
522.6587868023294,5.296701686128024
526.0697979089881,5.306242485154508
529.481084174769,5.316693200730327
532.8926815789875,5.327646350742335
536.3047853870225,5.338892374322477
539.7170670060349,5.350215011014796
543.1298259616917,5.361693172252183
546.5426951983114,5.373192610675269
549.9559316591011,5.38476289992024
553.3692051400348,5.396338420978266
556.7827659561781,5.40795454922843
560.1963267723214,5.419570677478595
563.6100187349728,5.431187110890415
567.0237232173539,5.442803573434092
570.4373968426435,5.454388315626373
573.8510579644718,5.465960204559931
577.2645914764206,5.477477691328918
580.6780381691121,5.488958165638127
584.0912592051194,5.500316324606347
587.5043575474424,5.511607978476625
590.9170937895079,5.522687256137134
594.3296850585768,5.5338644161367405
597.7421453364755,5.545560198666132
601.1545711677079,5.558639572396661
