KP,Er
0.0,-6.32
3.8194573185311516,-6.3257538482064914
7.638914623359206,-6.331516785406503
11.458371928468898,-6.337279535777814
15.277829248595939,-6.343032324521225
19.09728656872298,-6.3487851132646345
22.91674388885002,-6.35453790200804
26.73620120743976,-6.360291710505645
30.555658512135444,-6.366054735504675
34.37511581893007,-6.371816368186348
38.19457313905712,-6.377569156929759
42.01403045920407,-6.3833219324483315
45.83348777944664,-6.3890746444880655
49.652945096443254,-6.394829509718205
53.47240240113894,-6.400592534717236
57.29185970961811,-6.406353049977274
61.111317029745145,-6.412105838720678
64.93077434552706,-6.417861509766317
68.75023165022274,-6.423624534765348
72.5696889598252,-6.429384304898988
76.38914627995224,-6.435137093642398
80.20860360007927,-6.440889882385808
84.02806092020631,-6.4466426711292195
87.84751823434861,-6.452399429837894
91.66697553916023,-6.458162377996766
95.48643285051365,-6.4639209866899145
99.30589017064068,-6.469673775433325
103.12534749076772,-6.4754265641767335
106.94480481089477,-6.481179352920139
110.76426212330719,-6.486937259077051
114.58371942800288,-6.492700284076081
118.4031767409748,-6.49845781909845
122.22263406110184,-6.50421060784186
126.04209137245739,-6.5099692151170405
129.861548677269,-6.515732163275913
133.68100599140914,-6.521488923402554
137.50046331153618,-6.5272417121459645
141.31992063166322,-6.532994500889372
145.1393779517903,-6.538747289632777
148.95883526139488,-6.544507058337723
152.7782925660906,-6.550270083336755
156.5977498818703,-6.556025755811089
160.41720720199737,-6.5617785445545
164.2366645221244,-6.567531333297911
168.05612184225146,-6.573284122041321
171.87557915026287,-6.579044947649539
175.69503645507453,-6.584807895808411
179.51449377255875,-6.590562437602015
183.33395109268582,-6.596315226345426
187.1534083994826,-6.602076857598403
190.97286570417833,-6.607839882597428
194.7923230227659,-6.61359369252373
198.61178034289293,-6.61934648126714
202.43122774465013,-6.6297109056763315
206.25067447541292,-6.64038731497182
210.07007316747712,-6.662238720955109
213.88946973735466,-6.684508056739439
217.7087829303609,-6.718183694501175
221.52809068630287,-6.752385868747646
225.34728487465225,-6.797586162209135
229.1664664873532,-6.843729074322202
232.98550721865445,-6.900431874185923
236.80452571008004,-6.958494505571798
240.6233781772188,-7.026708500313664
244.44219626410234,-7.096697426295895
248.26082579646317,-7.176420756833432
252.07940633898212,-7.258332605208607
255.89777828417022,-7.349563099294866
259.7160841887842,-7.443393637103943
263.5341639522813,-7.546127440812
267.35215817986256,-7.651871501051872
271.16991108052315,-7.766108554358127
274.98756673065515,-7.883453311710957
278.804992416833,-8.008146717148726
282.62239718410547,-8.13347566877885
286.4397599673862,-8.260080153982786
290.2571227506669,-8.386684639186718
294.0744855339476,-8.51328912439065
297.8918483397764,-8.639892929722139
301.70921117898047,-8.766495728720969
305.52657399366274,-8.893099267103253
309.34393677694345,-9.019703752307189
313.16129956022405,-9.146308237511118
316.97866234350477,-9.272912722715049
320.79602495421904,-9.399522410910443
324.61338739855444,-9.526137115537674
328.43075002742745,-9.652746256235066
332.2481128107081,-9.779350741438996
336.0654755939888,-9.905955226642917
339.88283837726954,-10.032559711846833
343.70020119494785,-10.159163159891936
347.517564034152,-10.285765958890789
351.3349268369848,-10.412369854559454
355.1522896202654,-10.538974339763357
358.96974251779415,-10.662817756567517
362.7872367210901,-10.785395579406613
366.6049814623883,-10.899791771004466
370.42282311241905,-11.011023286959643
374.24090521357255,-11.113551344239873
378.05906464798073,-11.213280218145254
381.8774484602646,-11.303892503825924
385.69589106505805,-11.392116019675086
389.5145395350986,-11.470807359388354
393.33323069369635,-11.547522091333564
397.1521066721405,-11.614290564539079
400.97101168603183,-11.67949646707514
404.79007804185903,-11.734337978159328
408.6091622566738,-11.788032251623411
412.42838181296634,-11.830943988827478
416.24761053914233,-11.873125169497719
420.0669460911579,-11.904105012666806
423.88628531521744,-11.934666473922212
427.70569895099396,-11.953818332701012
431.5251144255783,-11.972445837243413
435.34456844467275,-11.980081992888415
439.1640229774876,-11.986828640437253
442.98348326892915,-11.983604210074436
446.80294320886316,-11.980080673983217
450.6224005289902,-11.974327885239827
454.4418578491172,-11.96857509649643
458.26131516924426,-11.96282230775299
462.0807724864224,-11.957067562930266
465.90022979111814,-11.951304537931268
469.7196870993506,-11.945543859023998
473.5391444195932,-11.939791146984232
477.3586017398052,-11.934038414705455
481.1780590599323,-11.928285625962065
484.9975163800593,-11.922532837218673
488.8169737001864,-11.916780048475283
492.6364310151183,-11.911023813667713
496.45588831981405,-11.905260788668661
500.2753456302664,-11.899501582296953
504.0948029503935,-11.893748793553563
507.9142602705205,-11.88799600481015
511.73371759064764,-11.882243216066708
515.5531749039463,-11.87648589782807
519.372632208758,-11.870722949669227
523.1920895209549,-11.864964900506044
527.011546841082,-11.859212111762602
530.8310041612091,-11.853459323019187
534.650461481336,-11.847706534275797
538.4699188014631,-11.841953745532408
542.2893761215902,-11.836200956789016
546.1088334325912,-11.830442114306923
549.9282907372868,-11.824679089307871
553.7477480516702,-11.818922490610685
557.5672053717973,-11.813169701867295
561.3866626920011,-11.807416964070033
565.2061200122436,-11.801664252030266
569.0255773215946,-11.795904315094335
572.8450346262902,-11.790141290095336
576.6644919423582,-11.784385808819763
580.4839492624853,-11.778633020076322
584.3034065826123,-11.772880231332921
588.1228639027394,-11.76712744258953
591.9423212103708,-11.761366364996153
595.7617785150665,-11.755603339997105
599.5812358328193,-11.749848976411197
603.4006931529465,-11.744096187667807
607.2201504731754,-11.738343466619012
611.039607793418,-11.7325907545793
614.8590651135544,-11.72683797205521
618.6785224336816,-11.72108518331177
622.4979797390667,-11.715322615733559
626.3174370437622,-11.70955959073456
630.1368943637615,-11.703806717133483
633.9563516838883,-11.698053928390044
637.7758090040156,-11.692301139646654
641.5952663231471,-11.686547690634416
645.4147236278428,-11.680784665635366
649.2341809341073,-11.675022681207675
653.0536382543498,-11.669269969167962
656.8730955745765,-11.663517246599154
660.6925528947036,-11.657764457855713
664.5120102148305,-11.65201166911228
668.3314675349577,-11.646258880368888
672.150924851843,-11.640503941371783
675.9703821565388,-11.634740916372783
679.7898404948029,-11.630130821010809
683.6093019931719,-11.629045774260128
687.4287595538281,-11.631200643580952
691.2482071310094,-11.641569829401018
695.0676391865321,-11.655615071229409
698.8870381404347,-11.677499901090254
702.7064074919915,-11.7034756689621
706.5257231971789,-11.736865172706626
710.3449926032768,-11.774771171608727
714.164190172278,-11.819684908763055
717.9833225335083,-11.869514991848714
721.8023678104364,-11.92591080396475
725.6213771766263,-11.984634915018848
729.4403451197761,-12.04604471915177
733.2593130695142,-12.107454113578338
737.078281025827,-12.168863099125533
740.8972489750764,-12.230272523945317
744.7162169182262,-12.291682328078295
748.5351848613761,-12.35309213221124
752.3541528045262,-12.414501936344166
756.1731207476761,-12.475911740477091
759.9920886908261,-12.537321544610016
763.8110566339759,-12.598731348742943
767.6300245771258,-12.66014115287587
771.4489925202759,-12.721550957008795
775.2679604634258,-12.78296076114172
779.086928416018,-12.84436997806394
782.905896372331,-12.905778963611136
786.724864318726,-12.967188565935237
790.5438322618759,-13.028598370068162
794.3628003349359,-13.09000009464395
798.1817684426101,-13.151399666454672
802.0007364144271,-13.212807687668779
805.8197043575769,-13.274217491801705
809.638672300727,-13.33562729593463
813.4576402438769,-13.397037100067555
817.2766081870269,-13.458446904200528
821.0955761301768,-13.519856708333501
824.9145440856234,-13.581265747751313
828.7335120419363,-13.642674733298511
832.552479985477,-13.704084513127023
836.3714479286269,-13.765494317259952
840.1904158717768,-13.826904121392875
844.0093838149268,-13.888313925525798
847.8283517580767,-13.949723729658725
851.6473197012266,-14.01113353379165
855.4662876443765,-14.072543337924575
859.2852555890387,-14.133953048011396
863.1042235453517,-14.195362033558592
866.9231915245211,-14.256769597564187
870.742159632195,-14.318169169374908
874.5611277090782,-14.379570656185788
878.3800956522281,-14.440980460318713
882.1990635953781,-14.50239026445164
886.0180315385278,-14.563800068584563
889.8369994816777,-14.625209872717498
893.6559674248277,-14.686619676850476
897.4749353679777,-14.748029480983437
901.2939033111277,-14.809439285116362
905.1128712586441,-14.870848817698768
908.9318392149569,-14.932257803245964
912.7508071664278,-14.99366708990988
916.5697751095777,-15.055076894042806
920.3887430527277,-15.11648669817573
924.2077109958776,-15.177896502308656
928.0266789390275,-15.239306306441582
931.8456468821774,-15.300716110574509
935.6646148253274,-15.362125914707434
939.4835827684774,-15.42353571884036
943.3025507959342,-15.484940279632541
947.1215189036083,-15.54633985144326
950.9404869282496,-15.607744587386042
954.7594548845624,-15.66915357293324
958.578422833179,-15.73056303710157
962.397390776329,-15.791972841234493
966.2163587194786,-15.853382645367448
970.0353266626287,-15.914792449500426
973.8542946057785,-15.976202253633367
977.6732625489284,-16.037612057766296
981.4922304920783,-16.099021861899217
985.3111984352282,-16.160431666032142
989.1302034120242,-16.21947592240998
992.9492221368389,-16.27764201532841
996.7683583397836,-16.327277426736586
1000.5875305419198,-16.374298754661318
1004.406802542459,-16.41208215331997
1008.22609923326,-16.447580075608144
1012.0454710064123,-16.473437426147388
1015.8648572963826,-16.49743081768415
1019.6842916868499,-16.51134686289529
1023.50373299029,-16.52381459831597
1027.32319271581,-16.525803924255413
1031.1426542470995,-16.526766135533194
1034.962102057306,-16.51681187100627
1038.781549101541,-16.50624820045033
1042.6009478066658,-16.484369056103013
1046.4203440344604,-16.46207131904802
1050.2396580346117,-16.428487348208158
1054.0589653648228,-16.394255937977285
1057.8781606421544,-16.3491477518172
1061.6973418152365,-16.302980028130335
1065.5163845193379,-16.24641025615603
1069.3354175860902,-16.18921661528634
1073.1543853646888,-16.127796578832534
1076.9733531725692,-16.066378363241885
1080.7923211288821,-16.00496937769469
1084.6112890825507,-15.943560227702521
1088.4302570257007,-15.882150423569541
1092.2492249298464,-15.820738194029373
1096.0681927084445,-15.759318157575573
1099.887160531995,-15.697900916373435
1103.7061284751449,-15.63649111224051
1107.5250964182947,-15.575081308107585
1111.3440643614447,-15.51367150397466
1115.1630323045945,-15.452261699841735
1118.9820002477445,-15.390851895708806
1122.8009681331243,-15.329438499223244
1126.61993592489,-15.26801928149144
1130.4389037798935,-15.206603996117828
1134.2578717230433,-15.145194191984906
1138.0768396661933,-15.083784387851978
1141.8958076093434,-15.022374583719053
1145.7147754718594,-14.960959765531173
1149.5337432504577,-14.899539729077368
1153.3527111156375,-14.838125076522989
1157.1716790587875,-14.77671527239006
1160.9906470019373,-14.715305468257137
1164.8096149450873,-14.65389566412421
1168.6285827976403,-14.592480226369986
1172.447550589406,-14.531061008638183
1176.2665184772363,-14.469647764533232
1180.0854864203861,-14.408237960400312
1183.9044543635362,-14.346828156267382
1187.723422306686,-14.285418352134458
1191.542390249836,-14.224008548001532
1195.3613581929858,-14.162598743868607
1199.1803260138724,-14.10118133703297
1202.9992937924706,-14.039761300579165
1206.818261709536,-13.978349874476354
1210.6372296658492,-13.916940888929158
1214.4561976114305,-13.855531236011899
1218.2751655545806,-13.794121431878924
1222.0941333576284,-13.732702915776002
1225.9131011362267,-13.6712828793222
1229.7320690608747,-13.60987192468285
1233.5510370040247,-13.548462120549924
1237.3700049471747,-13.487052316416996
1241.1889728903243,-13.425642512284076
1245.0079406755294,-13.364222886646019
1248.8269084541278,-13.302802850192213
1252.6458764097288,-13.241393820396038
1256.464844365619,-13.179984808560338
1260.283812308769,-13.11857500442736
1264.1027802406868,-13.057164501842863
