lon,lat,PGA-0.0004
22.92611,40.64528,1.996347E+00
22.92631,40.64517,2.001828E+00
22.92651,40.64507,2.005986E+00
22.92671,40.64496,2.008889E+00
22.92691,40.64486,2.010464E+00
22.92712,40.64475,2.011054E+00
22.92732,40.64465,2.010709E+00
22.92752,40.64454,2.009897E+00
22.92772,40.64443,2.008854E+00
22.92792,40.64433,2.007773E+00
22.92812,40.64422,2.006981E+00
22.92833,40.64412,2.006488E+00
22.92853,40.64401,2.006366E+00
22.92873,40.64391,2.006447E+00
22.92893,40.64380,2.006743E+00
22.92913,40.64370,2.006965E+00
22.92933,40.64359,2.007085E+00
22.92953,40.64349,2.006809E+00
22.92974,40.64338,2.006216E+00
22.92994,40.64328,2.005043E+00
22.93014,40.64317,2.003497E+00
22.93034,40.64307,2.001535E+00
22.93054,40.64296,1.999454E+00
22.93074,40.64286,1.997323E+00
22.93094,40.64275,1.995527E+00
22.93115,40.64265,1.994252E+00
22.93135,40.64254,1.993813E+00
22.93155,40.64244,1.994384E+00
22.93175,40.64233,1.996336E+00
22.93195,40.64222,1.999779E+00
22.93215,40.64212,2.004738E+00
22.93235,40.64201,2.011353E+00
22.93256,40.64191,2.019415E+00
22.93276,40.64180,2.028716E+00
22.93296,40.64170,2.038798E+00
22.93316,40.64159,2.049321E+00
22.93336,40.64149,2.059480E+00
22.93356,40.64139,2.068943E+00
22.93377,40.64128,2.077410E+00
22.93397,40.64118,2.084071E+00
22.93417,40.64107,2.088862E+00
22.93437,40.64097,2.091546E+00
22.93457,40.64086,2.092409E+00
22.93477,40.64076,2.091610E+00
22.93497,40.64065,2.089781E+00
22.93518,40.64055,2.087400E+00
22.93538,40.64044,2.085111E+00
22.93558,40.64034,2.083396E+00
22.93578,40.64023,2.082911E+00
22.93598,40.64013,2.083874E+00
22.93618,40.64002,2.086680E+00
22.93639,40.63992,2.091328E+00
22.93659,40.63981,2.097804E+00
22.93679,40.63971,2.105853E+00
22.93699,40.63960,2.115394E+00
22.93719,40.63950,2.125938E+00
22.93739,40.63939,2.137265E+00
22.93759,40.63928,2.148877E+00
22.93780,40.63918,2.160318E+00
22.93800,40.63907,2.171183E+00
22.93820,40.63897,2.180909E+00
22.93840,40.63886,2.189240E+00
22.93860,40.63876,2.195635E+00
22.93880,40.63865,2.199995E+00
22.93900,40.63855,2.201981E+00
22.93921,40.63844,2.201836E+00
22.93941,40.63834,2.199358E+00
22.93961,40.63823,2.195096E+00
22.93981,40.63813,2.189277E+00
22.94001,40.63802,2.182572E+00
