sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
58,22.95097,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
59,22.95266,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
60,22.95436,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
61,22.95606,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
62,22.95775,40.58366,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
63,22.95945,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
64,22.96115,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
65,22.96285,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
66,22.96454,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
67,22.96624,40.58366,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
68,22.96794,40.58366,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
69,22.96963,40.58366,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
70,22.97133,40.58366,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
71,22.97303,40.58366,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
72,22.93400,40.58609,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
73,22.93569,40.58609,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
74,22.93739,40.58609,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
75,22.93909,40.58609,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
76,22.94079,40.58609,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
77,22.94248,40.58609,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
78,22.94418,40.58609,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
79,22.94588,40.58609,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
80,22.94757,40.58609,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
81,22.94927,40.58609,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
82,22.95097,40.58609,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
83,22.95266,40.58609,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
84,22.95436,40.58609,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
85,22.95606,40.58609,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
86,22.95775,40.58609,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
87,22.95945,40.58609,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
88,22.96115,40.58609,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
89,22.96285,40.58609,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
90,22.96454,40.58609,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
91,22.96624,40.58609,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
92,22.96794,40.58609,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
93,22.96963,40.58609,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
94,22.97133,40.58609,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
95,22.97303,40.58609,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
96,22.93400,40.58853,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
97,22.93569,40.58853,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
98,22.93739,40.58853,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
99,22.93909,40.58853,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
100,22.94079,40.58853,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
101,22.94248,40.58853,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
102,22.94418,40.58853,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
103,22.94588,40.58853,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
104,22.94757,40.58853,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
105,22.94927,40.58853,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
106,22.95097,40.58853,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
107,22.95266,40.58853,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
108,22.95436,40.58853,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
109,22.95606,40.58853,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
110,22.95775,40.58853,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
111,22.95945,40.58853,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
112,22.96115,40.58853,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
113,22.96285,40.58853,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
114,22.96454,40.58853,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
115,22.96624,40.58853,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
116,22.96794,40.58853,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
117,22.96963,40.58853,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
118,22.97133,40.58853,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
119,22.97303,40.58853,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
120,22.93400,40.59096,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
121,22.93569,40.59096,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
122,22.93739,40.59096,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
123,22.93909,40.59096,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
124,22.94079,40.59096,0.00000,UNKNOWN,2,2.03918E-02,5.47774E+02,-1.50000E+02,0
125,22.94248,40.59096,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
126,22.94418,40.59096,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
127,22.94588,40.59096,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
128,22.94757,40.59096,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
129,22.94927,40.59096,0.00000,UNKNOWN,2,2.10909E-02,4.39889E+02,-1.50000E+02,0
130,22.95097,40.59096,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
131,22.95266,40.59096,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
132,22.95436,40.59096,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
133,22.95606,40.59096,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
134,22.95775,40.59096,0.00000,CENOZOIC,2,2.21183E-02,3.73225E+02,-1.50000E+02,0
135,22.95945,40.59096,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
136,22.96115,40.59096,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
137,22.96285,40.59096,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
138,22.96454,40.59096,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
139,22.96624,40.59096,0.00000,CENOZOIC,2,2.33197E-02,3.58743E+02,-1.50000E+02,0
140,22.96794,40.59096,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
141,22.96963,40.59096,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
142,22.97133,40.59096,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
143,22.97303,40.59096,0.00000,CENOZOIC,2,2.23813E-02,3.69049E+02,-1.50000E+02,0
144,22.94248,40.59339,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
145,22.94418,40.59339,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
146,22.94588,40.59339,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
147,22.94757,40.59339,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
148,22.94927,40.59339,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
149,22.95097,40.59339,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
150,22.95266,40.59339,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
151,22.95436,40.59339,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
152,22.95606,40.59339,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
153,22.95775,40.59339,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
154,22.95945,40.59339,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
155,22.96115,40.59339,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
156,22.96285,40.59339,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
157,22.96454,40.59339,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
158,22.96624,40.59339,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
159,22.96794,40.59339,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
160,22.96963,40.59339,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
161,22.97133,40.59339,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
162,22.97303,40.59339,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
163,22.94248,40.59582,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
164,22.94418,40.59582,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
165,22.94588,40.59582,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
166,22.94757,40.59582,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
167,22.94927,40.59582,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
168,22.95097,40.59582,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
169,22.95266,40.59582,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
170,22.95436,40.59582,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
171,22.95606,40.59582,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
172,22.95775,40.59582,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
173,22.95945,40.59582,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
174,22.96115,40.59582,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
175,22.96285,40.59582,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
176,22.96454,40.59582,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
177,22.96624,40.59582,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
178,22.96794,40.59582,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
179,22.96963,40.59582,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
180,22.97133,40.59582,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
181,22.97303,40.59582,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
182,22.94248,40.59826,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
183,22.94418,40.59826,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
184,22.94588,40.59826,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
185,22.94757,40.59826,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
186,22.94927,40.59826,0.00000,UNKNOWN,2,2.13668E-02,4.80628E+02,-1.50000E+02,0
187,22.95097,40.59826,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
188,22.95266,40.59826,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
189,22.95436,40.59826,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
190,22.95606,40.59826,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
191,22.95775,40.59826,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
192,22.95945,40.59826,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
193,22.96115,40.59826,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
194,22.96285,40.59826,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
195,22.96454,40.59826,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
196,22.96624,40.59826,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
197,22.96794,40.59826,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
198,22.96963,40.59826,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
199,22.97133,40.59826,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
200,22.97303,40.59826,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
201,22.95097,40.60069,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
202,22.95266,40.60069,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
203,22.95436,40.60069,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
204,22.95606,40.60069,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
205,22.95775,40.60069,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
206,22.95945,40.60069,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
207,22.96115,40.60069,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
208,22.96285,40.60069,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
209,22.96454,40.60069,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
210,22.96624,40.60069,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
211,22.96794,40.60069,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
212,22.96963,40.60069,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
213,22.97133,40.60069,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
214,22.97303,40.60069,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
215,22.95097,40.60312,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
216,22.95266,40.60312,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
217,22.95436,40.60312,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
218,22.95606,40.60312,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
219,22.95775,40.60312,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
220,22.95945,40.60312,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
221,22.96115,40.60312,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
222,22.96285,40.60312,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
223,22.96454,40.60312,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
224,22.96624,40.60312,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
225,22.96794,40.60312,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
226,22.96963,40.60312,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
227,22.97133,40.60312,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
228,22.97303,40.60312,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
229,22.95097,40.60555,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
230,22.95266,40.60555,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
231,22.95436,40.60555,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
232,22.95606,40.60555,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
233,22.95775,40.60555,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
234,22.95945,40.60555,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
235,22.96115,40.60555,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
236,22.96285,40.60555,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
237,22.96454,40.60555,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
238,22.96624,40.60555,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
239,22.96794,40.60555,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
240,22.96963,40.60555,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
241,22.97133,40.60555,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
242,22.97303,40.60555,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
243,22.95097,40.60799,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
244,22.95266,40.60799,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
245,22.95436,40.60799,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
246,22.95606,40.60799,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
247,22.95775,40.60799,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
248,22.95945,40.60799,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
249,22.96115,40.60799,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
250,22.96285,40.60799,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
251,22.96454,40.60799,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
252,22.96624,40.60799,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
253,22.96794,40.60799,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
254,22.96963,40.60799,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
255,22.97133,40.60799,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
256,22.97303,40.60799,0.00000,CENOZOIC,2,1.94085E-02,3.81516E+02,-1.50000E+02,0
