lon,lat,PGV-0.0004,PGV-0.00167,PGV-0.008,PGA-0.0004,PGA-0.00167,PGA-0.008
22.92382,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.707259E-01,4.179900E-01,1.884889E-01
22.92551,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.718264E-01,4.183750E-01,1.886035E-01
22.92721,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.729926E-01,4.187840E-01,1.887221E-01
22.92891,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.742192E-01,4.192147E-01,1.888458E-01
22.93060,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.754902E-01,4.196620E-01,1.889713E-01
22.93230,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.768186E-01,4.201305E-01,1.891011E-01
22.93400,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.781913E-01,4.206166E-01,1.892341E-01
22.93569,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.795966E-01,4.211153E-01,1.893693E-01
22.93739,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.810484E-01,4.216317E-01,1.895096E-01
22.93909,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.825232E-01,4.221597E-01,1.896514E-01
22.94079,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.840105E-01,4.226970E-01,1.897937E-01
22.94248,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.854952E-01,4.232450E-01,1.899557E-01
22.94418,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.869856E-01,4.237953E-01,1.901037E-01
22.94588,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.884692E-01,4.243498E-01,1.902529E-01
22.94757,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.899255E-01,4.249076E-01,1.904130E-01
22.94927,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.913588E-01,4.254616E-01,1.905644E-01
22.95097,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.927538E-01,4.260101E-01,1.907132E-01
22.95266,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.940904E-01,4.265482E-01,1.908632E-01
22.95436,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.953851E-01,4.270792E-01,1.910134E-01
22.95606,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.966491E-01,4.276025E-01,1.911629E-01
22.95775,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.978734E-01,4.281137E-01,1.913104E-01
22.95945,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,7.990696E-01,4.286170E-01,1.914575E-01
22.96115,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.002189E-01,4.291062E-01,1.916030E-01
22.96285,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.013190E-01,4.295793E-01,1.917470E-01
22.96454,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.023599E-01,4.300325E-01,1.918878E-01
22.96624,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.033512E-01,4.304725E-01,1.920270E-01
22.96794,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.042833E-01,4.308931E-01,1.921636E-01
22.96963,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.051525E-01,4.312905E-01,1.922968E-01
22.97133,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.059638E-01,4.316685E-01,1.924281E-01
22.97303,40.57880,1.000000E+01,1.000000E+01,1.000000E+01,8.067100E-01,4.320242E-01,1.925566E-01
22.92382,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.738494E-01,4.189889E-01,1.886432E-01
22.92551,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.750124E-01,4.193874E-01,1.887590E-01
22.92721,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.762485E-01,4.198126E-01,1.888801E-01
22.92891,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.775509E-01,4.202598E-01,1.890044E-01
22.93060,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.789052E-01,4.207258E-01,1.891317E-01
22.93230,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.803358E-01,4.212150E-01,1.892634E-01
22.93400,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.818132E-01,4.217236E-01,1.893984E-01
22.93569,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.833217E-01,4.222459E-01,1.895340E-01
22.93739,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.848708E-01,4.227863E-01,1.896765E-01
22.93909,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.864428E-01,4.233387E-01,1.898181E-01
22.94079,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.880358E-01,4.239022E-01,1.899645E-01
22.94248,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.896295E-01,4.244767E-01,1.901294E-01
22.94418,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.912299E-01,4.250558E-01,1.902798E-01
22.94588,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.928178E-01,4.256387E-01,1.904315E-01
22.94757,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.943760E-01,4.262179E-01,1.905834E-01
22.94927,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.959123E-01,4.268029E-01,1.907478E-01
22.95097,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.974035E-01,4.273778E-01,1.909012E-01
22.95266,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,7.988275E-01,4.279409E-01,1.910535E-01
22.95436,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.001963E-01,4.284960E-01,1.912058E-01
22.95606,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.015409E-01,4.290414E-01,1.913577E-01
22.95775,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.028440E-01,4.295720E-01,1.915071E-01
22.95945,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.041098E-01,4.300935E-01,1.916560E-01
22.96115,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.053243E-01,4.306000E-01,1.918032E-01
22.96285,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.064785E-01,4.310888E-01,1.919489E-01
22.96454,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.075686E-01,4.315552E-01,1.920910E-01
22.96624,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.086048E-01,4.320037E-01,1.922312E-01
22.96794,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.095755E-01,4.324327E-01,1.923686E-01
22.96963,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.104703E-01,4.328368E-01,1.925010E-01
22.97133,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.112980E-01,4.332204E-01,1.926329E-01
22.97303,40.58123,1.000000E+01,1.000000E+01,1.000000E+01,8.120509E-01,4.335800E-01,1.927619E-01
22.92382,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.772735E-01,4.201057E-01,1.888174E-01
22.92551,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.785103E-01,4.205187E-01,1.889343E-01
22.92721,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.798344E-01,4.209619E-01,1.890561E-01
22.92891,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.812352E-01,4.214295E-01,1.891816E-01
22.93060,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.826912E-01,4.219173E-01,1.893111E-01
22.93230,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.842161E-01,4.224309E-01,1.894450E-01
22.93400,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.858005E-01,4.229647E-01,1.895825E-01
22.93569,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.874231E-01,4.235131E-01,1.897194E-01
22.93739,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.890934E-01,4.240823E-01,1.898644E-01
22.93909,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.907907E-01,4.246644E-01,1.900094E-01
22.94079,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.925043E-01,4.252595E-01,1.901587E-01
22.94248,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.942207E-01,4.258610E-01,1.903090E-01
22.94418,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.959486E-01,4.264796E-01,1.904817E-01
22.94588,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.976589E-01,4.270949E-01,1.906362E-01
22.94757,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,7.993364E-01,4.277060E-01,1.907908E-01
22.94927,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.009923E-01,4.283234E-01,1.909577E-01
22.95097,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.026314E-01,4.289457E-01,1.911219E-01
22.95266,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.044590E-01,4.296931E-01,1.913472E-01
22.95436,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.066669E-01,4.306630E-01,1.916773E-01
22.95606,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.081538E-01,4.312581E-01,1.918421E-01
22.95775,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.088174E-01,4.314261E-01,1.918183E-01
22.95945,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.098642E-01,4.318082E-01,1.918962E-01
22.96115,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.113088E-01,4.324167E-01,1.920824E-01
22.96285,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.129597E-01,4.331471E-01,1.923294E-01
22.96454,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.140807E-01,4.336132E-01,1.924659E-01
22.96624,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.147401E-01,4.338500E-01,1.925056E-01
22.96794,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.155389E-01,4.341757E-01,1.925936E-01
22.96963,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.161093E-01,4.344022E-01,1.926447E-01
22.97133,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.163043E-01,4.344486E-01,1.926227E-01
22.97303,40.58366,1.000000E+01,1.000000E+01,1.000000E+01,8.171964E-01,4.348816E-01,1.927838E-01
22.92382,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.809805E-01,4.213305E-01,1.890074E-01
22.92551,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.822999E-01,4.217603E-01,1.891259E-01
22.92721,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.837172E-01,4.222223E-01,1.892508E-01
22.92891,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.852173E-01,4.227115E-01,1.893770E-01
22.93060,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.867809E-01,4.232240E-01,1.895086E-01
22.93230,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.884217E-01,4.237635E-01,1.896441E-01
22.93400,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.901238E-01,4.243265E-01,1.897842E-01
22.93569,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.918701E-01,4.249066E-01,1.899270E-01
22.93739,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.936741E-01,4.255093E-01,1.900733E-01
22.93909,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.955099E-01,4.261281E-01,1.902228E-01
22.94079,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.973669E-01,4.267597E-01,1.903752E-01
22.94248,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,7.992252E-01,4.273983E-01,1.905289E-01
22.94418,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.010994E-01,4.280542E-01,1.907046E-01
22.94588,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.029599E-01,4.287062E-01,1.908624E-01
22.94757,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.047819E-01,4.293542E-01,1.910203E-01
22.94927,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.065960E-01,4.300180E-01,1.911940E-01
22.95097,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.088554E-01,4.309324E-01,1.914771E-01
22.95266,40.58609,1.000000E+01,1.000000E+01,1.000000E+01,8.154102E-01,4.341395E-01,1.928009E-01
