sids,lon,lat,depth,vs30,vs30measured
117,22.96963,40.58609,0.00000,3.58154E+02,0
118,22.97133,40.58609,0.00000,3.74185E+02,0
119,22.97303,40.58609,0.00000,3.70932E+02,0
120,22.92382,40.58853,0.00000,3.48845E+02,0
121,22.92551,40.58853,0.00000,3.48845E+02,0
122,22.92721,40.58853,0.00000,3.48845E+02,0
123,22.92891,40.58853,0.00000,3.48845E+02,0
124,22.93060,40.58853,0.00000,3.48845E+02,0
125,22.93230,40.58853,0.00000,3.48845E+02,0
126,22.93400,40.58853,0.00000,3.48845E+02,0
127,22.93569,40.58853,0.00000,3.48845E+02,0
128,22.93739,40.58853,0.00000,3.48845E+02,0
129,22.93909,40.58853,0.00000,3.48845E+02,0
130,22.94079,40.58853,0.00000,3.48845E+02,0
131,22.94248,40.58853,0.00000,3.48845E+02,0
132,22.94418,40.58853,0.00000,3.48845E+02,0
133,22.94588,40.58853,0.00000,3.48845E+02,0
134,22.94757,40.58853,0.00000,3.48845E+02,0
135,22.94927,40.58853,0.00000,3.48833E+02,0
136,22.95097,40.58853,0.00000,3.48729E+02,0
137,22.95266,40.58853,0.00000,3.48280E+02,0
138,22.95436,40.58853,0.00000,3.47282E+02,0
139,22.95606,40.58853,0.00000,3.45452E+02,0
140,22.95775,40.58853,0.00000,3.38223E+02,0
141,22.95945,40.58853,0.00000,3.31260E+02,0
142,22.96115,40.58853,0.00000,3.37650E+02,0
143,22.96285,40.58853,0.00000,3.42346E+02,0
144,22.96454,40.58853,0.00000,3.43866E+02,0
145,22.96624,40.58853,0.00000,3.45816E+02,0
146,22.96794,40.58853,0.00000,3.46494E+02,0
147,22.96963,40.58853,0.00000,3.50843E+02,0
148,22.97133,40.58853,0.00000,3.57822E+02,0
149,22.97303,40.58853,0.00000,3.59435E+02,0
150,22.92382,40.59096,0.00000,3.48845E+02,0
151,22.92551,40.59096,0.00000,3.48845E+02,0
152,22.92721,40.59096,0.00000,3.48845E+02,0
153,22.92891,40.59096,0.00000,3.48845E+02,0
154,22.93060,40.59096,0.00000,3.48845E+02,0
155,22.93230,40.59096,0.00000,3.48845E+02,0
156,22.93400,40.59096,0.00000,3.48845E+02,0
157,22.93569,40.59096,0.00000,3.48845E+02,0
158,22.93739,40.59096,0.00000,3.48845E+02,0
159,22.93909,40.59096,0.00000,3.48845E+02,0
160,22.94079,40.59096,0.00000,3.48845E+02,0
161,22.94248,40.59096,0.00000,3.48845E+02,0
162,22.94418,40.59096,0.00000,3.48845E+02,0
163,22.94588,40.59096,0.00000,3.48845E+02,0
164,22.94757,40.59096,0.00000,3.48838E+02,0
165,22.94927,40.59096,0.00000,3.48672E+02,0
166,22.95097,40.59096,0.00000,3.47534E+02,0
167,22.95266,40.59096,0.00000,3.45584E+02,0
168,22.95436,40.59096,0.00000,3.45903E+02,0
169,22.95606,40.59096,0.00000,3.45017E+02,0
170,22.95775,40.59096,0.00000,3.32819E+02,0
171,22.95945,40.59096,0.00000,3.21268E+02,0
172,22.96115,40.59096,0.00000,3.30753E+02,0
173,22.96285,40.59096,0.00000,3.37225E+02,0
174,22.96454,40.59096,0.00000,3.40161E+02,0
175,22.96624,40.59096,0.00000,3.44509E+02,0
176,22.96794,40.59096,0.00000,3.45446E+02,0
177,22.96963,40.59096,0.00000,3.46567E+02,0
178,22.97133,40.59096,0.00000,3.46998E+02,0
179,22.97303,40.59096,0.00000,3.50891E+02,0
180,22.92382,40.59339,0.00000,3.48845E+02,0
181,22.92551,40.59339,0.00000,3.48845E+02,0
182,22.92721,40.59339,0.00000,3.48845E+02,0
183,22.92891,40.59339,0.00000,3.48845E+02,0
184,22.93060,40.59339,0.00000,3.48845E+02,0
185,22.93230,40.59339,0.00000,3.48845E+02,0
186,22.93400,40.59339,0.00000,3.48845E+02,0
187,22.93569,40.59339,0.00000,3.48845E+02,0
188,22.93739,40.59339,0.00000,3.48845E+02,0
189,22.93909,40.59339,0.00000,3.48845E+02,0
190,22.94079,40.59339,0.00000,3.48845E+02,0
191,22.94248,40.59339,0.00000,3.48845E+02,0
192,22.94418,40.59339,0.00000,3.48845E+02,0
193,22.94588,40.59339,0.00000,3.48845E+02,0
194,22.94757,40.59339,0.00000,3.48815E+02,0
195,22.94927,40.59339,0.00000,3.48128E+02,0
196,22.95097,40.59339,0.00000,3.43035E+02,0
197,22.95266,40.59339,0.00000,3.29780E+02,0
198,22.95436,40.59339,0.00000,3.17503E+02,0
199,22.95606,40.59339,0.00000,3.20547E+02,0
200,22.95775,40.59339,0.00000,3.19561E+02,0
201,22.95945,40.59339,0.00000,3.09677E+02,0
202,22.96115,40.59339,0.00000,3.16481E+02,0
203,22.96285,40.59339,0.00000,3.10273E+02,0
204,22.96454,40.59339,0.00000,3.16611E+02,0
205,22.96624,40.59339,0.00000,3.38657E+02,0
206,22.96794,40.59339,0.00000,3.46233E+02,0
207,22.96963,40.59339,0.00000,3.45029E+02,0
208,22.97133,40.59339,0.00000,3.40667E+02,0
209,22.97303,40.59339,0.00000,3.42587E+02,0
210,22.92382,40.59582,0.00000,3.48845E+02,0
