sids,lon,lat,depth,vs30,xvf,vs30measured,geology,slope,region
58,22.95007,40.63275,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
59,22.95048,40.63254,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
60,22.95090,40.63232,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
61,22.95131,40.63211,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
62,22.95173,40.63190,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
63,22.95214,40.63168,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
64,22.95256,40.63147,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
65,22.95297,40.63126,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
66,22.95339,40.63104,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
67,22.95384,40.63087,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
68,22.95429,40.63071,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
69,22.95474,40.63054,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
70,22.95519,40.63038,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
71,22.95562,40.63018,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
72,22.95603,40.62996,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
73,22.95644,40.62974,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
74,22.95685,40.62953,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
75,22.95726,40.62931,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
76,22.95768,40.62909,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
77,22.95809,40.62887,0.00000,4.62279E+02,-1.50000E+02,0,UNKNOWN,3.98337E-02,2
78,22.95849,40.62864,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
79,22.95884,40.62838,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
80,22.95915,40.62808,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
81,22.95940,40.62775,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
82,22.95965,40.62742,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
83,22.95990,40.62708,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
84,22.96015,40.62675,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
85,22.96040,40.62642,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
86,22.96065,40.62609,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
87,22.96090,40.62576,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
88,22.96115,40.62543,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
89,22.96140,40.62510,0.00000,5.49940E+02,-1.50000E+02,0,CENOZOIC,6.90543E-02,2
90,22.96165,40.62477,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
91,22.96188,40.62443,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
92,22.96207,40.62408,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
93,22.96220,40.62371,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
94,22.96228,40.62333,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
95,22.96235,40.62296,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
96,22.96242,40.62258,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
97,22.96250,40.62220,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
98,22.96257,40.62182,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
99,22.96264,40.62144,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
100,22.96271,40.62107,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
101,22.96279,40.62069,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
102,22.96286,40.62031,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
103,22.96293,40.61993,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
104,22.96300,40.61956,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
105,22.96307,40.61918,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
106,22.96313,40.61880,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
107,22.96306,40.61842,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
108,22.96293,40.61806,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
109,22.96274,40.61770,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
110,22.96249,40.61738,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
111,22.96214,40.61710,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
112,22.96177,40.61684,0.00000,4.48906E+02,-1.50000E+02,0,CENOZOIC,3.82132E-02,2
113,22.96141,40.61658,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
114,22.96104,40.61632,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
115,22.96068,40.61606,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
116,22.96031,40.61580,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
117,22.95994,40.61554,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
118,22.95958,40.61528,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
119,22.95921,40.61502,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
120,22.95885,40.61476,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
121,22.95848,40.61450,0.00000,3.91938E+02,-1.50000E+02,0,CENOZOIC,2.66517E-02,2
122,22.95812,40.61424,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
123,22.95775,40.61397,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
124,22.95741,40.61370,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
125,22.95725,40.61334,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
126,22.95721,40.61296,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
127,22.95724,40.61258,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
128,22.95726,40.61220,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
129,22.95729,40.61182,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
130,22.95732,40.61143,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
131,22.95735,40.61105,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
132,22.95738,40.61067,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
133,22.95741,40.61029,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
134,22.95744,40.60991,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
135,22.95747,40.60953,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
136,22.95750,40.60915,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
137,22.95753,40.60877,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
138,22.95756,40.60839,0.00000,3.61443E+02,-1.50000E+02,0,UNKNOWN,2.42215E-02,2
139,22.95759,40.60801,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
140,22.95762,40.60762,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
141,22.95765,40.60724,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
142,22.95768,40.60686,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
143,22.95774,40.60648,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
144,22.95783,40.60611,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
145,22.95793,40.60574,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
146,22.95804,40.60536,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
147,22.95814,40.60499,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
148,22.95825,40.60462,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
149,22.95835,40.60424,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
150,22.95846,40.60387,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
151,22.95856,40.60350,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
152,22.95867,40.60312,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
153,22.95877,40.60275,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
154,22.95879,40.60237,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
155,22.95870,40.60199,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
156,22.95861,40.60162,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
157,22.95851,40.60124,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
158,22.95842,40.60087,0.00000,3.61462E+02,-1.50000E+02,0,CENOZOIC,1.56729E-02,2
159,22.95832,40.60050,0.00000,3.51231E+02,-1.50000E+02,0,UNKNOWN,2.20586E-02,2
