lon,lat,PGA-0.0004,PGA-0.00167,PGA-0.008
22.96220,40.62371,8.364411E-01,4.227331E-01,1.782015E-01
22.96228,40.62333,8.366562E-01,4.227884E-01,1.782090E-01
22.96235,40.62296,8.368186E-01,4.228290E-01,1.782147E-01
22.96242,40.62258,8.369477E-01,4.228602E-01,1.782194E-01
22.96250,40.62220,8.370572E-01,4.228865E-01,1.782240E-01
22.96257,40.62182,8.371139E-01,4.228979E-01,1.782266E-01
22.96264,40.62144,8.371336E-01,4.228992E-01,1.782283E-01
22.96271,40.62107,8.371200E-01,4.228916E-01,1.782291E-01
22.96279,40.62069,8.370820E-01,4.228777E-01,1.782297E-01
22.96286,40.62031,8.369907E-01,4.228487E-01,1.782283E-01
22.96293,40.61993,8.368617E-01,4.228093E-01,1.782260E-01
22.96300,40.61956,8.367026E-01,4.227621E-01,1.782229E-01
22.96307,40.61918,8.364990E-01,4.227027E-01,1.782185E-01
22.96313,40.61880,8.362434E-01,4.226282E-01,1.782122E-01
22.96306,40.61842,8.357517E-01,4.224814E-01,1.781930E-01
22.96293,40.61806,8.351556E-01,4.223028E-01,1.781681E-01
22.96274,40.61770,8.344359E-01,4.220866E-01,1.781367E-01
22.96249,40.61738,8.336402E-01,4.218468E-01,1.781006E-01
22.96214,40.61710,8.327090E-01,4.215648E-01,1.780562E-01
22.96177,40.61684,8.317457E-01,4.212731E-01,1.780099E-01
22.96141,40.61658,8.767005E-01,4.437567E-01,1.876429E-01
22.96104,40.61632,8.756187E-01,4.434315E-01,1.875927E-01
22.96068,40.61606,8.745292E-01,4.431049E-01,1.875428E-01
22.96031,40.61580,8.733960E-01,4.427659E-01,1.874913E-01
22.95994,40.61554,8.722386E-01,4.424201E-01,1.874390E-01
22.95958,40.61528,8.710770E-01,4.420741E-01,1.873871E-01
22.95921,40.61502,8.698722E-01,4.417159E-01,1.873336E-01
22.95885,40.61476,8.686646E-01,4.413573E-01,1.872804E-01
22.95848,40.61450,8.674158E-01,4.409868E-01,1.872257E-01
22.95812,40.61424,8.924646E-01,4.537164E-01,1.927644E-01
22.95775,40.61397,8.911064E-01,4.533159E-01,1.927062E-01
22.95741,40.61370,8.897932E-01,4.529293E-01,1.926506E-01
22.95725,40.61334,8.886545E-01,4.525985E-01,1.926080E-01
22.95721,40.61296,8.877074E-01,4.523256E-01,1.925764E-01
22.95724,40.61258,8.868837E-01,4.520903E-01,1.925516E-01
22.95726,40.61220,8.860101E-01,4.518404E-01,1.925248E-01
22.95729,40.61182,8.851302E-01,4.515893E-01,1.924983E-01
22.95732,40.61143,8.841980E-01,4.513231E-01,1.924702E-01
22.95735,40.61105,8.832651E-01,4.510567E-01,1.924419E-01
22.95738,40.61067,8.823069E-01,4.507832E-01,1.924129E-01
22.95741,40.61029,8.813255E-01,4.505026E-01,1.923830E-01
22.95744,40.60991,8.803206E-01,4.502152E-01,1.923526E-01
22.95747,40.60953,8.792936E-01,4.499213E-01,1.923212E-01
22.95750,40.60915,8.782452E-01,4.496216E-01,1.922891E-01
22.95753,40.60877,8.771770E-01,4.493155E-01,1.922562E-01
22.95756,40.60839,8.760899E-01,4.490037E-01,1.922226E-01
22.95759,40.60801,8.839155E-01,4.531778E-01,1.941257E-01
22.95762,40.60762,8.827474E-01,4.528424E-01,1.940894E-01
22.95765,40.60724,8.815933E-01,4.525108E-01,1.940535E-01
22.95768,40.60686,8.804235E-01,4.521742E-01,1.940170E-01
22.95774,40.60648,8.792928E-01,4.518501E-01,1.939831E-01
22.95783,40.60611,8.782329E-01,4.515477E-01,1.939529E-01
22.95793,40.60574,8.771749E-01,4.512464E-01,1.939231E-01
22.95804,40.60536,8.760852E-01,4.509362E-01,1.938927E-01
22.95814,40.60499,8.749976E-01,4.506258E-01,1.938618E-01
22.95825,40.60462,8.739136E-01,4.503168E-01,1.938314E-01
22.95835,40.60424,8.639557E-01,4.455245E-01,1.918598E-01
22.95846,40.60387,8.628612E-01,4.452115E-01,1.918286E-01
22.95856,40.60350,8.617405E-01,4.448899E-01,1.917959E-01
22.95867,40.60312,8.605912E-01,4.445603E-01,1.917625E-01
22.95877,40.60275,8.594529E-01,4.442329E-01,1.917290E-01
22.95879,40.60237,8.581533E-01,4.438533E-01,1.916857E-01
22.95870,40.60199,8.566882E-01,4.434182E-01,1.916311E-01
22.95861,40.60162,8.552594E-01,4.429931E-01,1.915775E-01
22.95851,40.60124,8.537832E-01,4.425532E-01,1.915219E-01
22.95842,40.60087,8.523595E-01,4.421287E-01,1.914679E-01
22.95832,40.60050,8.595690E-01,4.461202E-01,1.933536E-01
22.95815,40.60015,8.580920E-01,4.456741E-01,1.932930E-01
22.95785,40.59984,8.463719E-01,4.399813E-01,1.909321E-01
22.95747,40.59959,8.449768E-01,4.395458E-01,1.908635E-01
22.95721,40.59927,8.435193E-01,4.390994E-01,1.908023E-01
22.95716,40.59890,8.421947E-01,4.387015E-01,1.907518E-01
22.95731,40.59854,8.411853E-01,4.384081E-01,1.907223E-01
22.95766,40.59827,8.407462E-01,4.382964E-01,1.907236E-01
22.95811,40.59811,8.407991E-01,4.383382E-01,1.907480E-01
22.95852,40.59790,8.363251E-01,4.361010E-01,1.897905E-01
22.95887,40.59763,8.358454E-01,4.359792E-01,1.897906E-01
22.95921,40.59734,8.352709E-01,4.358292E-01,1.897870E-01
22.95954,40.59706,8.347060E-01,4.356822E-01,1.897835E-01
22.95983,40.59675,8.339798E-01,4.354851E-01,1.897724E-01
22.96002,40.59640,8.329952E-01,4.352044E-01,1.897464E-01
22.96022,40.59605,8.320199E-01,4.349269E-01,1.897210E-01
22.96038,40.59569,8.309641E-01,4.346229E-01,1.896907E-01
22.96051,40.59532,8.298413E-01,4.342973E-01,1.896562E-01
22.96064,40.59495,8.287199E-01,4.339724E-01,1.896218E-01
22.96077,40.59458,8.276013E-01,4.336483E-01,1.895873E-01
22.96090,40.59422,8.265195E-01,4.333353E-01,1.895541E-01
22.96106,40.59385,8.254385E-01,4.330246E-01,1.895224E-01
22.96135,40.59355,8.247216E-01,4.328312E-01,1.895113E-01
22.96174,40.59331,8.242970E-01,4.327320E-01,1.895166E-01
22.96213,40.59307,8.238648E-01,4.326304E-01,1.895216E-01
22.96256,40.59287,8.235937E-01,4.325800E-01,1.895350E-01
22.96301,40.59270,8.234298E-01,4.325634E-01,1.895535E-01
22.96350,40.59265,8.236889E-01,4.326759E-01,1.895902E-01
22.96399,40.59270,8.242705E-01,4.328848E-01,1.896391E-01
22.96449,40.59276,8.248848E-01,4.331044E-01,1.896898E-01
22.96498,40.59281,8.254478E-01,4.333082E-01,1.897380E-01
22.96548,40.59287,8.260428E-01,4.335223E-01,1.897881E-01
22.96598,40.59292,8.265933E-01,4.337232E-01,1.898366E-01
22.96647,40.59297,8.271257E-01,4.339181E-01,1.898842E-01
22.96697,40.59303,8.132531E-01,4.266449E-01,1.866170E-01
22.96746,40.59308,8.137537E-01,4.268295E-01,1.866627E-01
22.96796,40.59313,8.142506E-01,4.270136E-01,1.867089E-01
22.96845,40.59319,8.147636E-01,4.272018E-01,1.867553E-01
22.96895,40.59324,8.152373E-01,4.273791E-01,1.868007E-01
22.96945,40.59329,8.156990E-01,4.275530E-01,1.868458E-01
22.96995,40.59331,8.160460E-01,4.276931E-01,1.868868E-01
