#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='quantile-0.5', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.95416,40.63076,0.00000,9.220256E-01,8.837243E-01,8.283479E-01,7.631304E-01,6.855467E-01,5.977911E-01,5.031814E-01,4.065399E-01,3.116929E-01,2.249864E-01,1.556230E-01,1.039549E-01,6.603321E-02,4.128132E-02,2.508745E-02,1.473781E-02,8.382557E-03,4.300377E-03,2.003935E-03,8.510530E-04,3.212490E-04,1.046510E-04,2.920277E-05,5.967881E-06,5.614498E-07
22.95514,40.63040,0.00000,9.220386E-01,8.837448E-01,8.283818E-01,7.631648E-01,6.855905E-01,5.978453E-01,5.032479E-01,4.066148E-01,3.117458E-01,2.250354E-01,1.556791E-01,1.039959E-01,6.605907E-02,4.129871E-02,2.509890E-02,1.474808E-02,8.394035E-03,4.302023E-03,2.004773E-03,8.514258E-04,3.214161E-04,1.064564E-04,2.981741E-05,6.131645E-06,5.650501E-07
22.95538,40.63030,0.00000,9.220423E-01,8.837510E-01,8.283934E-01,7.631782E-01,6.856065E-01,5.978636E-01,5.032675E-01,4.066356E-01,3.117600E-01,2.250484E-01,1.556924E-01,1.040060E-01,6.606513E-02,4.130289E-02,2.510172E-02,1.475060E-02,8.396907E-03,4.302443E-03,2.004980E-03,8.515160E-04,3.214562E-04,1.069004E-04,2.996819E-05,6.171569E-06,5.658063E-07
22.95691,40.62950,0.00000,9.220727E-01,8.838015E-01,8.285684E-01,7.634336E-01,6.859285E-01,5.982491E-01,5.036992E-01,4.070785E-01,3.118672E-01,2.251441E-01,1.558767E-01,1.041007E-01,6.611566E-02,4.133465E-02,2.512059E-02,1.476711E-02,8.415919E-03,4.305326E-03,2.006342E-03,8.520868E-04,3.216856E-04,1.097780E-04,3.094224E-05,6.426927E-06,5.688935E-07
22.95773,40.62906,0.00000,9.220895E-01,8.838294E-01,8.286147E-01,7.634868E-01,6.859906E-01,5.983188E-01,5.037736E-01,4.071544E-01,3.119259E-01,2.251965E-01,1.559230E-01,1.041336E-01,6.613543E-02,4.134800E-02,2.512964E-02,1.477565E-02,8.425801E-03,4.306900E-03,2.007085E-03,8.524019E-04,3.218131E-04,1.112523E-04,3.143735E-05,6.555834E-06,5.738187E-07
22.95838,40.62872,0.00000,9.186025E-01,8.783510E-01,8.227434E-01,7.564832E-01,6.779416E-01,5.894795E-01,4.945224E-01,3.980283E-01,3.025590E-01,2.174952E-01,1.502717E-01,1.001600E-01,6.340437E-02,3.946509E-02,2.390839E-02,1.401869E-02,7.977244E-03,4.016177E-03,1.856395E-03,7.805371E-04,2.908001E-04,1.005811E-04,2.781703E-05,5.583227E-06,4.098363E-07
22.95880,40.62842,0.00000,9.186136E-01,8.783717E-01,8.227628E-01,7.565064E-01,6.779669E-01,5.895078E-01,4.945533E-01,3.980617E-01,3.025966E-01,2.175273E-01,1.502941E-01,1.001753E-01,6.341308E-02,3.947110E-02,2.391265E-02,1.402313E-02,7.982592E-03,4.017012E-03,1.856774E-03,7.806759E-04,2.908489E-04,1.012890E-04,2.804827E-05,5.641191E-06,4.245764E-07
22.95916,40.62807,0.00000,9.186303E-01,8.783963E-01,8.227933E-01,7.565421E-01,6.780066E-01,5.895490E-01,4.945947E-01,3.981001E-01,3.026379E-01,2.175626E-01,1.503131E-01,1.001872E-01,6.341912E-02,3.947537E-02,2.391592E-02,1.402700E-02,7.987658E-03,4.017824E-03,1.857117E-03,7.807848E-04,2.908833E-04,1.019456E-04,2.826371E-05,5.694899E-06,4.390251E-07
22.96053,40.62625,0.00000,9.186992E-01,8.785296E-01,8.229085E-01,7.566698E-01,6.781384E-01,5.896799E-01,4.947248E-01,3.982267E-01,3.028469E-01,2.177354E-01,1.503880E-01,1.002241E-01,6.343459E-02,3.948690E-02,2.392581E-02,1.404118E-02,8.007820E-03,4.021520E-03,1.858558E-03,7.811849E-04,2.963381E-04,1.045461E-04,2.912392E-05,5.908599E-06,5.002873E-07
22.96185,40.62450,0.00000,9.248469E-01,8.889481E-01,8.347756E-01,7.709693E-01,6.946975E-01,6.079406E-01,5.138736E-01,4.171333E-01,3.220441E-01,2.331754E-01,1.618113E-01,1.084321E-01,6.908093E-02,4.337058E-02,2.645311E-02,1.562157E-02,8.963787E-03,4.681591E-03,2.176231E-03,9.330640E-04,3.602355E-04,1.325957E-04,3.911407E-05,8.731036E-06,1.010673E-06
