#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0005000,poe-0.0007184,poe-0.0010323,poe-0.0014833,poe-0.0021314,poe-0.0030626,poe-0.0044006,poe-0.0063231,poe-0.0090856,poe-0.0130550,poe-0.0187586,poe-0.0269540,poe-0.0387298,poe-0.0556504,poe-0.0799635,poe-0.1148985,poe-0.1650964,poe-0.2372250,poe-0.3408658,poe-0.4897860,poe-0.7037678,poe-1.0112356,poe-1.4530325,poe-2.0878452,poe-3.0000000
22.95416,40.63076,0.00000,9.289522E-01,8.933256E-01,8.434211E-01,7.782518E-01,6.986780E-01,6.075379E-01,5.095065E-01,4.106199E-01,3.172864E-01,2.349024E-01,1.667396E-01,1.136292E-01,7.444602E-02,4.693973E-02,2.850155E-02,1.666993E-02,9.387474E-03,5.080565E-03,2.630335E-03,1.291853E-03,5.946567E-04,2.524024E-04,9.679575E-05,3.258024E-05,9.415941E-06
22.95514,40.63040,0.00000,9.289659E-01,8.933463E-01,8.434493E-01,7.782878E-01,6.987219E-01,6.075892E-01,5.095645E-01,4.106814E-01,3.173477E-01,2.349586E-01,1.667874E-01,1.136669E-01,7.447395E-02,4.695955E-02,2.851572E-02,1.668093E-02,9.396849E-03,5.088856E-03,2.637349E-03,1.297284E-03,5.983824E-04,2.546624E-04,9.798264E-05,3.310239E-05,9.616211E-06
22.95538,40.63030,0.00000,9.289703E-01,8.933527E-01,8.434582E-01,7.782989E-01,6.987351E-01,6.076041E-01,5.095806E-01,4.106980E-01,3.173637E-01,2.349731E-01,1.667995E-01,1.136764E-01,7.448089E-02,4.696446E-02,2.851922E-02,1.668365E-02,9.399162E-03,5.090902E-03,2.639082E-03,1.298627E-03,5.993054E-04,2.552225E-04,9.827681E-05,3.323194E-05,9.665891E-06
22.95691,40.62950,0.00000,9.290251E-01,8.934329E-01,8.435679E-01,7.784403E-01,6.989073E-01,6.078026E-01,5.097952E-01,4.109137E-01,3.175624E-01,2.351398E-01,1.669268E-01,1.137656E-01,7.453927E-02,4.700146E-02,2.854349E-02,1.670152E-02,9.414162E-03,5.104179E-03,2.650371E-03,1.307407E-03,6.053485E-04,2.588973E-04,1.002114E-04,3.408538E-05,9.993272E-06
22.95773,40.62906,0.00000,9.290444E-01,8.934609E-01,8.436056E-01,7.784872E-01,6.989620E-01,6.078634E-01,5.098594E-01,4.109781E-01,3.176233E-01,2.351937E-01,1.669713E-01,1.137999E-01,7.456402E-02,4.701871E-02,2.855562E-02,1.671080E-02,9.422013E-03,5.111100E-03,2.656232E-03,1.311959E-03,6.084877E-04,2.608024E-04,1.012122E-04,3.452663E-05,1.016286E-05
22.95838,40.62872,0.00000,9.259717E-01,8.890608E-01,8.377342E-01,7.711740E-01,6.904210E-01,5.984811E-01,5.001679E-01,4.015891E-01,3.091092E-01,2.279619E-01,1.611992E-01,1.094466E-01,7.144687E-02,4.489039E-02,2.716720E-02,1.584353E-02,8.902742E-03,4.812629E-03,2.491618E-03,1.225176E-03,5.650637E-04,2.405141E-04,9.250650E-05,3.121855E-05,9.049108E-06
22.95880,40.62842,0.00000,9.259843E-01,8.890787E-01,8.377576E-01,7.712024E-01,6.904534E-01,5.985163E-01,5.002046E-01,4.016257E-01,3.091434E-01,2.279916E-01,1.612234E-01,1.094648E-01,7.145986E-02,4.489928E-02,2.717337E-02,1.584825E-02,8.906734E-03,4.816164E-03,2.494616E-03,1.227483E-03,5.666483E-04,2.414618E-04,9.300041E-05,3.143475E-05,9.131576E-06
22.95916,40.62807,0.00000,9.260003E-01,8.891013E-01,8.377870E-01,7.712377E-01,6.904932E-01,5.985585E-01,5.002469E-01,4.016657E-01,3.091792E-01,2.280218E-01,1.612469E-01,1.094821E-01,7.147178E-02,4.490723E-02,2.717884E-02,1.585240E-02,8.910284E-03,4.819349E-03,2.497356E-03,1.229613E-03,5.681220E-04,2.423488E-04,9.346522E-05,3.163969E-05,9.209944E-06
22.96053,40.62625,0.00000,9.260768E-01,8.892087E-01,8.379253E-01,7.714013E-01,6.906738E-01,5.987465E-01,5.004334E-01,4.018417E-01,3.093359E-01,2.281521E-01,1.613481E-01,1.095554E-01,7.152133E-02,4.493944E-02,2.720024E-02,1.586827E-02,8.923772E-03,4.831519E-03,2.507921E-03,1.237913E-03,5.739323E-04,2.458833E-04,9.533839E-05,3.247188E-05,9.529967E-06
22.96185,40.62450,0.00000,9.319298E-01,8.976957E-01,8.493912E-01,7.858516E-01,7.077273E-01,6.176448E-01,5.200945E-01,4.209993E-01,3.267921E-01,2.430398E-01,1.732716E-01,1.185745E-01,7.799599E-02,4.937072E-02,3.009926E-02,1.768726E-02,1.002176E-02,5.471105E-03,2.868109E-03,1.433397E-03,6.751600E-04,2.952253E-04,1.173802E-04,4.129892E-05,1.259893E-05
