#,,,,,,,,,"generated_by='OpenQuake engine 3.25.1', start_date='2026-05-21T13:23:20', checksum=3829219473"
sids,lon,lat,depth,geology,region,slope,vs30,xvf,vs30measured
57,22.95746,40.59839,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
58,22.95769,40.59824,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
59,22.95825,40.59807,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
60,22.95870,40.59778,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
61,22.95975,40.59688,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
62,22.96031,40.59589,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
63,22.96061,40.59502,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
64,22.96101,40.59393,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
65,22.96114,40.59374,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
66,22.96131,40.59357,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
67,22.96228,40.59298,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
68,22.96292,40.59272,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
69,22.96319,40.59266,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
70,22.96348,40.59265,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
71,22.96738,40.59307,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
72,22.96837,40.59318,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
73,22.96886,40.59323,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
74,22.96947,40.59330,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
75,22.96995,40.59331,0.00000,CENOZOIC,2,2.46374E-02,3.86847E+02,-1.50000E+02,0
76,22.92619,40.64536,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
77,22.92879,40.64401,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
78,22.92920,40.64379,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
79,22.93002,40.64337,0.00000,UNKNOWN,2,2.37805E-02,3.87833E+02,-1.50000E+02,0
80,22.93364,40.64148,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
81,22.93450,40.64103,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
82,22.93720,40.63962,0.00000,UNKNOWN,2,2.99182E-02,4.15199E+02,-1.50000E+02,0
83,22.94217,40.63703,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
84,22.94655,40.63474,0.00000,UNKNOWN,2,4.98226E-02,4.83245E+02,-1.50000E+02,0
85,22.95068,40.63259,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
86,22.95084,40.63251,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
87,22.95348,40.63113,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
88,22.95422,40.63085,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
89,22.95546,40.63040,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
90,22.95700,40.62958,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
91,22.95781,40.62915,0.00000,UNKNOWN,2,3.98337E-02,4.62279E+02,-1.50000E+02,0
92,22.95849,40.62879,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
93,22.95891,40.62849,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
94,22.95927,40.62815,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
95,22.96065,40.62631,0.00000,CENOZOIC,2,6.90543E-02,5.49940E+02,-1.50000E+02,0
96,22.96195,40.62458,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
97,22.96218,40.62417,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
98,22.96233,40.62374,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
99,22.96309,40.61972,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
100,22.96326,40.61884,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
101,22.96313,40.61823,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
102,22.96290,40.61772,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
103,22.96254,40.61725,0.00000,CENOZOIC,2,3.82132E-02,4.48906E+02,-1.50000E+02,0
104,22.96051,40.61579,0.00000,CENOZOIC,2,2.66517E-02,3.91938E+02,-1.50000E+02,0
105,22.95828,40.61422,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
106,22.95818,40.61415,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
107,22.95812,40.61408,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
108,22.95770,40.61379,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
109,22.95752,40.61366,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
110,22.95742,40.61349,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
111,22.95734,40.61328,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
112,22.95732,40.61305,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
113,22.95731,40.61260,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
114,22.95740,40.61199,0.00000,UNKNOWN,2,2.42215E-02,3.61443E+02,-1.50000E+02,0
115,22.95778,40.60661,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
116,22.95789,40.60621,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
117,22.95800,40.60584,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
118,22.95821,40.60511,0.00000,UNKNOWN,2,2.20586E-02,3.51231E+02,-1.50000E+02,0
119,22.95889,40.60270,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
120,22.95893,40.60249,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
121,22.95889,40.60226,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
122,22.95859,40.60107,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
123,22.95850,40.60070,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
124,22.95838,40.60025,0.00000,CENOZOIC,2,1.56729E-02,3.61462E+02,-1.50000E+02,0
125,22.95832,40.59984,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
126,22.95829,40.59957,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
127,22.95825,40.59939,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
128,22.95821,40.59916,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
129,22.95819,40.59906,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
130,22.95819,40.59887,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
131,22.95822,40.59873,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
132,22.95827,40.59856,0.00000,CENOZOIC,2,1.80584E-02,3.63381E+02,-1.50000E+02,0
133,22.95838,40.59836,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
134,22.95849,40.59815,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
135,22.95859,40.59801,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
136,22.95879,40.59784,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
137,22.95986,40.59690,0.00000,CENOZOIC,2,1.84413E-02,3.68616E+02,-1.50000E+02,0
